episode,reward,steps,success,collision,out_of_altitude,final_distance
1,-53.05617375360136,52,0,1,0,7.7820440342168675
2,-47.84601360178014,54,0,1,0,5.126963794539611
3,-45.69562680534349,62,0,1,0,3.851771233440945
4,-72.5083235651984,27,0,1,0,18.133119542221895
5,-47.5862302387746,60,0,1,0,4.84707239065655
6,-82.83709614099627,17,0,1,0,23.5475052041472
7,-50.04314024205258,50,0,1,0,6.3255273202887095
8,-74.7618211168131,32,0,1,0,19.134867692055614
9,-53.28339985247704,52,0,1,0,7.89565719968312
10,-82.8946267722136,17,0,1,0,23.576270657376043
11,-55.10523644365238,55,0,1,0,8.731575981448898
12,-71.65527248146483,26,0,1,0,17.73159351327058
13,-49.49893224799645,64,0,1,0,5.7034231827647215
14,-49.9839857552113,51,0,1,0,6.270950290796023
15,-47.1605430063828,55,0,1,0,4.759228702453825
16,158.39652188322376,65,1,0,0,1.7306963318327344
17,-74.49437761052295,29,0,1,0,19.07614607870607
18,-48.18187033079766,51,0,1,0,5.369892299047912
19,-48.92165234887468,53,0,1,0,5.689783233203835
20,-49.25740733289999,58,0,1,0,5.73266091036751
21,-58.988780642895975,41,0,1,0,11.023347455097062
22,-74.20565807017753,24,0,1,0,19.05678630853337
23,-72.53930351065776,28,0,1,0,18.12360888897794
24,-62.10386668913682,45,0,1,0,12.480890361805056
25,-54.80323387749237,53,0,1,0,8.63057404308847
26,-48.79877108442884,61,0,1,0,5.428342741476839
27,-62.4652154731224,40,0,1,0,12.786565010005798
28,-58.42156745085442,88,0,1,0,9.564740859076275
29,158.14953814450251,67,1,0,0,1.8041882011933592
30,-62.347144685010704,45,0,1,0,12.602529615949955
31,-53.66632434033651,50,0,1,0,8.137119443612862
32,-45.083816390049364,58,0,1,0,3.6458652537911713
33,-46.999233749595675,62,0,1,0,4.503574148242449
34,-74.27239415004735,24,0,1,0,19.090154348468275
35,-50.63257203420386,53,0,1,0,6.545243776724636
36,-62.06525829748153,46,0,1,0,12.436586422185371
37,-56.04499697992543,51,0,1,0,9.30145576340732
38,-72.54289092105303,31,0,1,0,18.05040259417558
39,-52.07827771957273,52,0,1,0,7.293096551666825
40,158.5889100552732,66,1,0,0,1.6095023855537793
41,-54.28873314663323,45,0,1,0,8.573323706965692
42,-46.41108658957791,75,0,1,0,3.8845003535554508
43,-83.24320478713773,17,0,1,0,23.75055952721793
44,-54.49643369028163,54,0,1,0,8.452173978789887
45,-47.26755098949506,52,0,1,0,4.887732459312562
46,-49.6077678833055,49,0,1,0,6.132841701275454
47,-46.81345608543784,56,0,1,0,4.560685802341632
48,-47.51655325011556,71,0,1,0,4.537234038248167
49,-45.959248493684846,58,0,1,0,4.083581520287029
50,-54.251611542571254,50,0,1,0,8.429763462239725
