episode,global_step,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss
1,9,-96.03192445430123,9,0,0,1,30.344919359900018,0.999829,nan
2,22,-97.04007118055355,13,0,0,1,30.748992863721377,0.999582,nan
3,132,-81.43625747235038,110,0,0,1,20.522085869824238,0.997492,nan
4,169,-90.28275642963295,37,0,0,1,26.770335348465547,0.996789,nan
5,223,-85.9306241337761,54,0,1,0,24.169269200537123,0.995763,nan
6,299,-85.81585791147756,76,0,1,0,23.561886089387844,0.994319,nan
7,400,-84.56729791019441,101,0,0,1,22.312606088746257,0.9924,nan
8,539,-79.44830680727179,139,0,0,1,18.803110397285426,0.989759,nan
9,659,-77.10918069111219,120,0,0,1,18.108547339205607,0.987479,nan
10,756,-74.43157643489073,97,0,0,1,17.34474535109442,0.985636,nan
11,863,-87.05692033544784,107,0,0,1,23.407417161373466,0.983603,nan
12,981,-74.63051790015331,118,0,1,0,16.91921608372571,0.981361,nan
13,1083,-75.13515756879244,102,0,1,0,17.57153591804527,0.979423,1.2266233786940575
14,1174,-87.72692633853522,91,0,0,1,24.142420302916655,0.977694,1.1944767922203947
15,1252,-89.08252441966758,78,0,0,1,25.14521934348286,0.976212,1.6653243267837052
16,1402,25.597981098964343,150,0,0,0,16.004966584166873,0.973362,1.0409651323842506
17,1552,29.036634313174822,150,0,0,0,14.285639837062092,0.970512,0.8493618271003167
18,1602,-88.11363023903235,50,0,1,0,25.360772113165716,0.969562,0.8263832547143102
19,1668,-85.1344649000735,66,0,1,0,23.47118972348134,0.968308,1.2405307147807132
20,1690,-96.16555219740833,22,0,1,0,30.086733092353708,0.96789,1.2881043447096916
21,1738,-83.37336307886373,48,0,1,0,23.040638673080927,0.966978,1.2448402194616695
22,1853,-69.49644279307624,115,0,1,0,14.427178530187161,0.964793,0.9062844772134786
23,1885,-85.37278038070855,32,0,0,1,24.440347882234718,0.964185,1.467153214616701
24,2019,-69.63013571890963,134,0,1,0,14.019024853104327,0.961639,0.9885524966503814
25,2121,-86.66144138126037,102,0,0,1,23.334677964074782,0.959701,1.0308071988653027
26,2165,-84.98856884368165,44,0,1,0,23.948241555489894,0.958865,0.6563033572694456
27,2300,-76.16564569481933,135,0,0,1,17.261780539290104,0.9563,1.0755034185256118
28,2364,-85.97720588779137,64,0,1,0,23.942560075385614,0.955084,0.842552788410103
29,2439,-90.77678526135324,75,0,1,0,26.067349904121226,0.953659,1.091141984704882
30,2589,30.709921986707222,150,0,0,0,13.448996140295415,0.950809,1.0899561506292472
31,2633,-85.00811433180125,44,0,1,0,23.95801429954969,0.949973,1.425441476389427
32,2735,-73.2477274996805,102,0,0,1,16.627820883489296,0.948035,1.1998286355131615
33,2788,-82.26215981783245,53,0,1,0,22.360037042565285,0.947028,1.1816661421490728
34,2844,-87.94474165279331,56,0,1,0,25.12632796004572,0.945964,0.7870504896522367
35,2932,-72.8144275265239,88,0,1,0,16.761171455142392,0.944292,1.0010294812646778
36,2965,-88.94158119921406,33,0,0,1,26.199747733256096,0.943665,0.6687803610481999
37,2983,-92.12511769956838,18,0,0,1,28.16651598343326,0.943323,1.0388401925512072
38,3036,-77.0504796577994,53,0,1,0,19.75419752078015,0.942316,0.9300156307740594
39,3105,-79.74003425953144,69,0,0,1,20.698974682443996,0.941005,1.0604515245886168
40,3255,36.83404122861858,150,0,0,0,10.38693637934023,0.938155,1.0359191688367475
41,3405,38.65433449420826,150,0,0,0,9.47678988654492,0.935305,1.1364310244098306
42,3555,32.02596540377392,150,0,0,0,12.790974431762091,0.932455,1.1758994771478077
43,3652,-75.69137286021373,97,0,1,0,17.97464370355146,0.930612,1.0303138526415778
