phase,checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,rank,advanced,selected
stage1,dqn_step_0040000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0040000.pt,40000,40000,deterministic,5,0.2,0.8,0.0,0.8,0.0,-16.85631187399294,78.8,4.83474382446139,41.2769101470907,0.5417236328125,1,1,0
stage1,dqn_step_0015000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0015000.pt,15000,15000,deterministic,5,0.0,0.0,0.0,0.0,1.0,-1.8075162561263567,150.0,12.995154337781656,32.46059995489213,1.2201171875,2,1,0
stage1,dqn_step_0022500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0022500.pt,22500,22500,deterministic,5,0.0,0.2,0.0,0.2,0.8,-17.50665222014279,128.6,15.320219003553472,31.625291756250807,1.475390625,3,1,0
stage1,dqn_step_0042500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0042500.pt,42500,42500,deterministic,5,0.0,0.8,0.0,0.8,0.2,-41.439273906392174,80.0,4.9951183601510465,33.94957056255732,0.75703125,4,0,0
stage1,dqn_step_0045000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0045000.pt,45000,45000,deterministic,5,0.0,0.8,0.0,0.8,0.2,-72.10827838885957,76.8,11.73418935363016,29.07785500454263,0.386328125,5,0,0
stage1,dqn_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_final.pt,,45000,deterministic,5,0.0,0.8,0.0,0.8,0.2,-74.6658437978896,77.6,13.129691100016592,28.393325116986876,0.56025390625,6,0,0
stage1,dqn_step_0025000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0025000.pt,25000,25000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-57.30550709076956,54.2,7.69077214827324,31.2731393284322,0.99658203125,7,0,0
stage1,dqn_step_0032500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0032500.pt,32500,32500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-58.3653050524231,48.0,9.048142491323963,27.985135922828142,1.1462890625,8,0,0
stage1,dqn_step_0035000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0035000.pt,35000,35000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-59.246806669965125,48.8,9.330080843290308,28.11552906739538,1.14033203125,9,0,0
stage1,dqn_step_0017500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\dqn\scratch_33m_45k_seed7_stable_v3_scratch\models\dqn_step_0017500.pt,17500,17500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-62.74599226961284,57.4,9.399434034581555,28.654815109843547,1.168212890625,10,0,0
