policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,-57.10611297836034,65,0,1,0,0,5.699244768055004,112.79435729980469,-21.59747314453125,-4.136704921722412,32.12876486398012,0.400634765625,0,forward,0.5230769230769231,34,10,3,6,5,7
deterministic,2,8.007327999354,150,0,0,0,1,2.587728814599883,116.83944702148438,-16.623823165893555,-2.7824714183807373,47.37878949811256,0.35400390625,5,hover,0.4,38,14,13,12,13,60
deterministic,3,-55.76427586360427,88,0,1,0,0,2.99989390735666,114.84532165527344,-18.541908264160156,-3.5340044498443604,38.642150098992936,0.1026611328125,0,forward,0.4090909090909091,36,10,8,8,8,18
deterministic,4,-60.19148562896972,62,0,1,0,0,7.340352976942748,110.52775573730469,-19.38934898376465,-4.227596759796143,29.856798577632894,0.35302734375,0,forward,0.5,31,8,4,7,6,6
deterministic,5,-62.065228971875456,70,0,1,0,0,7.361308351831285,110.50685119628906,-19.390413284301758,-4.22835636138916,32.35166437462991,0.33935546875,0,forward,0.44285714285714284,31,8,4,11,10,6
deterministic,6,-62.135728168250075,75,0,1,0,0,8.021499388455128,110.05535888671875,-21.148212432861328,-3.7273809909820557,35.42299776615504,0.48828125,0,forward,0.4,30,10,2,14,14,5
deterministic,7,-64.49230702478863,66,0,1,0,0,8.684628759500358,109.33707427978516,-17.1593074798584,-4.011514186859131,31.244420217775787,0.4931640625,0,forward,0.4393939393939394,29,5,3,13,12,4
deterministic,8,-59.7661044029334,65,0,1,0,0,7.789902082361786,110.03972625732422,-19.270376205444336,-4.039027690887451,32.82328365768145,0.487548828125,0,forward,0.46153846153846156,30,9,5,8,8,5
deterministic,9,-68.02966917265893,37,0,1,0,0,13.40697891980954,104.92554473876953,-15.333998680114746,-4.198537349700928,21.13538859563154,0.334716796875,0,forward,0.6486486486486487,24,0,0,6,2,5
deterministic,10,-61.704077571401456,59,0,1,0,0,8.689557074274415,109.35978698730469,-20.919876098632812,-4.211328983306885,29.426276313244937,0.51123046875,0,forward,0.4915254237288136,29,10,3,7,6,4
deterministic,11,-59.69602917799918,65,0,1,0,0,7.769749100015693,110.05980682373047,-19.278522491455078,-4.038181304931641,32.81193696203389,0.495361328125,0,forward,0.46153846153846156,30,9,5,8,8,5
deterministic,12,-57.08648350466622,65,0,1,0,0,5.683170679239167,112.8157730102539,-21.603267669677734,-4.136419773101807,32.16476140550387,0.398681640625,0,forward,0.5230769230769231,34,10,3,6,5,7
deterministic,13,-57.061694819419664,64,0,1,0,0,5.7783654562886655,112.67729187011719,-21.542438507080078,-4.141913890838623,32.005762542388226,0.50244140625,0,forward,0.53125,34,10,2,6,5,7
deterministic,14,-62.27729684242337,65,0,1,0,0,7.824230670732181,110.0198974609375,-18.904552459716797,-4.163849830627441,30.56354557403264,0.41259765625,0,forward,0.46153846153846156,30,9,4,8,7,7
deterministic,15,-66.5590924242868,46,0,1,0,0,12.2405082055606,105.86862182617188,-16.303024291992188,-4.030559539794922,23.497959896865886,0.4677734375,0,forward,0.5434782608695652,25,2,1,8,6,4
deterministic,16,-62.246543423592904,65,0,1,0,0,7.8321688751488985,110.01177215576172,-18.899595260620117,-4.1626434326171875,30.51742364884506,0.412109375,0,forward,0.46153846153846156,30,9,4,8,7,7
deterministic,17,-57.70668882878354,66,0,1,0,0,6.095464119232623,111.92876434326172,-17.723094940185547,-4.2163615226745605,32.70920874980803,0.291748046875,0,forward,0.48484848484848486,32,8,5,8,6,7
deterministic,18,-62.710718949819956,77,0,1,0,0,7.0680464029051375,111.06417083740234,-17.078649520874023,-4.1633172035217285,36.492822649156274,0.1629638671875,0,forward,0.4155844155844156,32,9,7,12,11,6
deterministic,19,-67.94858568901931,37,0,1,0,0,13.378077151235575,104.95574188232422,-15.333998680114746,-4.198470115661621,21.140364030530293,0.3330078125,0,forward,0.6486486486486487,24,0,0,6,2,5
deterministic,20,-58.611073971743835,74,0,1,0,0,5.387855919012522,112.59140014648438,-18.004404067993164,-4.136521339416504,35.63191192165356,0.10955810546875,0,forward,0.44594594594594594,33,9,6,10,9,7
deterministic,21,-57.00442550748276,65,0,1,0,0,5.663641472664188,112.84307861328125,-21.612865447998047,-4.135557651519775,32.190982305889676,0.398681640625,0,forward,0.5230769230769231,34,10,3,6,5,7
deterministic,22,-67.68542199342687,37,0,1,0,0,13.406757152283657,104.92577362060547,-15.333998680114746,-4.198506832122803,21.139146701843565,0.332275390625,0,forward,0.6486486486486487,24,0,0,6,2,5
deterministic,23,-60.01093275784381,58,0,1,0,0,7.996520394437438,110.0778579711914,-21.162038803100586,-3.661850929260254,29.27876437983866,0.6064453125,0,forward,0.5172413793103449,30,11,3,5,6,3
deterministic,24,-57.06922763972791,65,0,1,0,0,5.665624619627833,112.83057403564453,-21.593345642089844,-4.135443210601807,32.16301722608133,0.39892578125,0,forward,0.5230769230769231,34,10,3,6,5,7
deterministic,25,-60.347454088725634,94,0,1,0,0,3.6862249394826785,114.25123596191406,-18.26185417175293,-2.158172130584717,42.48871085020681,0.107666015625,0,forward,0.3723404255319149,35,16,13,7,14,9
deterministic,26,-66.56513203541334,46,0,1,0,0,12.22884652284835,105.88011932373047,-16.304624557495117,-4.028909683227539,23.527321926097052,0.46923828125,0,forward,0.5434782608695652,25,2,1,8,6,4
deterministic,27,-63.088657090519796,81,0,1,0,0,6.907617807086398,110.96095275878906,-19.323789596557617,-4.207699775695801,36.54959652967195,0.4755859375,0,forward,0.38271604938271603,31,9,5,14,13,9
deterministic,28,-66.6088559016898,46,0,1,0,0,12.26516187630495,105.84362030029297,-16.2996768951416,-4.021522521972656,23.512643181350054,0.481201171875,0,forward,0.5434782608695652,25,2,1,8,6,4
deterministic,29,-57.108280766722615,65,0,1,0,0,6.4011457498041935,111.60114288330078,-17.704702377319336,-4.151246547698975,33.02602695874426,0.2783203125,0,forward,0.5076923076923077,33,8,5,9,8,2
deterministic,30,-48.673989086219414,62,0,1,0,0,2.9261341647234134,114.83377838134766,-18.883384704589844,-3.01403546333313,33.78918968970419,0.3740234375,0,forward,0.5967741935483871,37,6,3,7,8,1
deterministic,31,-59.918364815637375,58,0,1,0,0,7.986011330528572,110.08920288085938,-21.168058395385742,-3.647561550140381,29.288456879306246,0.6123046875,0,forward,0.5172413793103449,30,11,3,5,6,3
deterministic,32,-68.03083989676074,37,0,1,0,0,13.407562693121271,104.92495727539062,-15.333998680114746,-4.1987786293029785,21.12006981108552,0.332275390625,0,forward,0.6486486486486487,24,0,0,6,2,5
deterministic,33,-57.039802586468674,64,0,1,0,0,5.774668704345409,112.66879272460938,-21.516998291015625,-4.140982151031494,32.01162241530489,0.49755859375,0,forward,0.53125,34,10,2,6,5,7
deterministic,34,-4.712959611347728,150,0,0,0,1,8.622687350833399,109.22465515136719,-19.759082794189453,-4.020366191864014,58.76260375807064,0.734375,3,up,0.36,29,7,2,54,53,5
deterministic,35,-5.8545699720294735,150,0,0,0,1,8.64091938673839,109.21080780029297,-19.74429702758789,-4.068015098571777,58.803507194737946,0.6904296875,3,up,0.36,29,7,2,54,53,5
deterministic,36,-64.6999070440556,82,0,1,0,0,7.344100356995617,110.52330780029297,-19.367252349853516,-4.230006694793701,36.32893421158091,0.345703125,0,forward,0.3780487804878049,31,8,4,17,16,6
deterministic,37,-61.541545022727185,52,0,1,0,0,9.797501502129395,108.26024627685547,-16.94953727722168,-4.215200424194336,26.220092111430223,0.45703125,0,forward,0.5384615384615384,28,3,1,8,5,7
deterministic,38,-53.870960168298396,85,0,1,0,0,2.9882854680312048,114.92060089111328,-18.09462547302246,-3.089092254638672,39.264667032516364,0.226318359375,0,forward,0.4235294117647059,36,12,8,10,13,6
deterministic,39,-56.477385831796205,66,0,1,0,0,5.450771432737322,112.65646362304688,-17.533721923828125,-4.203774452209473,32.71824006379015,0.12213134765625,0,forward,0.5,33,9,5,7,6,6
deterministic,40,-57.1043911559622,65,0,1,0,0,5.671448497295687,112.8349609375,-21.614547729492188,-4.1355509757995605,32.18741723205455,0.39697265625,0,forward,0.5230769230769231,34,10,3,6,5,7
deterministic,41,-63.704874165983206,69,0,1,0,0,8.27440949998686,109.83385467529297,-16.988767623901367,-4.233892440795898,30.533103842897756,0.2939453125,0,forward,0.43478260869565216,30,3,1,14,10,11
deterministic,42,-5.272355374495238,150,0,0,0,1,8.65227257041245,109.14014434814453,-19.768354415893555,-3.2966439723968506,58.60111355807226,0.6025390625,4,down,0.36,29,7,2,53,54,5
