episode,global_step,reward,steps,success,collision,out_of_altitude,final_distance,epsilon,mean_loss,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction
1,9,-103.36206923208853,9,0,0,1,30.234518869721384,0.999829,nan,0,87.72877502441406,-16.163131713867188,-0.9473043084144592,4.043383725915978,0.2091064453125,4,0.5555555555555556
2,21,-106.87360389078067,12,0,0,1,30.780090085767807,0.999601,nan,0,87.05473327636719,-18.268428802490234,-0.9360067844390869,5.146294372415729,0.8349609375,4,0.4166666666666667
3,166,-183.88972650498903,145,0,1,0,13.8986710732528,0.996846,nan,0,104.83684539794922,-18.263505935668945,-8.067034721374512,57.00499444552011,0.5185546875,1,0.20689655172413793
4,221,-99.3943417314327,55,0,1,0,24.6273686402441,0.995801,nan,0,93.20814514160156,-17.893871307373047,-4.6156158447265625,21.440087531027107,0.66650390625,1,0.2909090909090909
5,327,-91.18497591389438,106,0,1,0,17.863372883942894,0.993787,nan,0,100.3525161743164,-15.191868782043457,-4.2079362869262695,37.59677005200657,0.378173828125,5,0.2169811320754717
6,440,-212.67535783068433,113,0,0,1,24.57316555901248,0.99164,nan,0,94.86681365966797,-13.81287670135498,-10.256570816040039,40.262620264163964,5.4296875,3,0.24778761061946902
7,552,-172.84198453874234,112,0,0,1,20.40352082608701,0.989512,nan,0,99.6758804321289,-12.688577651977539,-10.010602951049805,41.470310399502885,2.8984375,2,0.19642857142857142
8,609,-104.07596359137484,57,0,1,0,26.12637466063392,0.988429,nan,0,91.89727020263672,-21.479312896728516,-5.821666717529297,19.733701352063047,0.70458984375,3,0.24561403508771928
9,756,-143.90073259249579,147,0,0,1,14.822404001315649,0.985636,nan,0,109.96265411376953,-6.617307186126709,-0.8125951290130615,56.83292683528724,1.6630859375,0,0.2108843537414966
10,866,-153.16602611441718,110,0,0,1,23.990630706736376,0.983546,nan,0,94.87662506103516,-20.008392333984375,-10.150882720947266,38.090279922854336,1.2646484375,5,0.2636363636363636
11,985,-124.57267122706126,119,0,1,0,16.459262071923902,0.981285,nan,0,102.05927276611328,-14.175024032592773,-2.158494710922241,43.35533143883011,0.386962890625,5,0.20168067226890757
12,1059,-129.03539935313592,74,0,1,0,23.537006460345793,0.979879,0.7976960861434539,0,94.39771270751953,-16.288759231567383,-2.0839757919311523,28.052261150786254,0.223876953125,4,0.21621621621621623
13,1187,-229.07027856009844,128,0,0,1,18.65640875357453,0.977447,0.9420385473058559,0,100.62540435791016,-20.874143600463867,-10.156685829162598,44.91008876713708,2.201171875,1,0.2109375
14,1206,-116.71881093472108,19,0,0,1,31.197764607874152,0.977086,0.9444928804510518,0,86.95661926269531,-14.54821491241455,-0.8592653274536133,5.501559946146979,0.931640625,5,0.3684210526315789
15,1300,-118.48948208593212,94,0,1,0,24.417823338537726,0.9753000000000001,1.2357294674407928,0,93.44691467285156,-17.294940948486328,-4.511123180389404,35.531919770313024,0.426025390625,1,0.22340425531914893
16,1450,-40.77771406329623,150,0,0,0,13.64225485319198,0.97245,0.908296430024008,1,106.53003692626953,-11.337295532226562,-3.921743392944336,55.70945862474522,0.3056640625,4,0.18666666666666668
17,1529,-124.03684278473857,79,0,1,0,24.072976932555825,0.970949,0.9455344542813829,0,93.87288665771484,-17.710235595703125,-5.711597919464111,29.04822229944241,0.62646484375,1,0.21518987341772153
18,1588,-100.2322350602913,59,0,1,0,25.440250323576105,0.969828,1.2385392787282246,0,92.4012680053711,-20.131380081176758,-4.771908283233643,20.967628981518637,0.69775390625,3,0.22033898305084745
19,1666,-113.41867132121581,78,0,1,0,23.624969748898838,0.968346,0.93703301757192,0,94.25566101074219,-16.683618545532227,-2.4092631340026855,28.87786627793682,0.2286376953125,4,0.23076923076923078
20,1688,-103.35810508143973,22,0,1,0,29.78691817537223,0.967928,1.6505627885291523,0,88.24895477294922,-15.273961067199707,-1.432555079460144,7.7616339306872835,1.87109375,4,0.36363636363636365
21,1838,-55.64926809635557,150,0,0,0,7.430513086038771,0.965078,1.0861722044150035,1,113.41119384765625,-14.732789039611816,-7.223123073577881,55.359193336456606,0.51806640625,0,0.23333333333333334
22,1879,-103.59030927012927,41,0,0,1,25.845625506451835,0.964299,1.1328837315029487,0,92.02313995361328,-18.268857955932617,-0.7099599242210388,15.877382641164793,1.05078125,1,0.21951219512195122
23,1969,-129.13520906337942,90,0,1,0,18.002772931260356,0.962589,0.8333597861851255,0,100.76482391357422,-13.141399383544922,-3.8228161334991455,30.34272636187876,0.1685791015625,0,0.2111111111111111
24,2119,-201.53097385660766,150,0,0,1,17.514400841432916,0.959739,1.0711300315707921,0,104.05274200439453,-10.777071952819824,-10.127278327941895,50.66001303098406,0.58203125,3,0.23333333333333334
25,2201,-109.5431621449653,82,0,1,0,18.719519645006915,0.958181,1.1573988763024894,0,99.33387756347656,-16.012422561645508,-4.377347946166992,27.749623799764045,0.4482421875,0,0.2073170731707317
26,2299,-160.1786358178952,98,0,0,1,19.952449120399944,0.956319,1.4147255447103966,0,101.2193374633789,-10.430912017822266,-10.115187644958496,34.725763673376846,1.798828125,3,0.21428571428571427
27,2364,-107.78173639173724,65,0,1,0,23.794649513768388,0.955084,1.4827356175447886,0,94.03179168701172,-17.306385040283203,-3.602189302444458,22.80690424764098,0.19677734375,1,0.2153846153846154
28,2448,-108.36025819747792,84,0,1,0,25.86910757593989,0.953488,1.0014014780477045,0,92.12384796142578,-22.521564483642578,-3.2010040283203125,27.250226702321704,0.135986328125,1,0.23809523809523808
29,2485,-95.91646333476407,37,0,1,0,23.921898922185896,0.952785,0.4241752742311439,0,94.16596984863281,-15.527704238891602,-4.863763809204102,14.981779954023725,0.37255859375,0,0.35135135135135137
30,2635,-94.17603914138795,150,0,0,0,14.373022525723563,0.949935,0.9465250022336841,1,106.37983703613281,-11.930964469909668,-8.16851806640625,50.794535421727254,2.08984375,5,0.20666666666666667
31,2739,-178.7279344589577,104,0,0,1,15.497732890359162,0.947959,1.1935622463755022,0,104.14781188964844,-17.252805709838867,-10.198908805847168,38.36951220005692,1.6337890625,3,0.2403846153846154
32,2791,-91.12228774905263,52,0,1,0,22.906102548597822,0.946971,0.9317067857258595,0,95.1509780883789,-15.51961612701416,-4.160317420959473,18.60428314455235,0.1434326171875,0,0.23076923076923078
33,2851,-105.08254922673385,60,0,1,0,25.04553545056252,0.945831,1.4400604014284908,0,92.77369689941406,-19.107391357421875,-4.777073860168457,19.72226484440174,0.69921875,1,0.2
34,2905,-97.39786349674682,54,0,1,0,24.556567665868247,0.944805,0.7925342002676593,0,93.36290740966797,-17.49246597290039,-5.371860504150391,17.473339341675292,0.108642578125,5,0.24074074074074073
35,2932,-106.9181588260852,27,0,1,0,29.225480348176962,0.944292,0.992333289373804,0,88.6857681274414,-16.443439483642578,-1.4705175161361694,7.9578158541348705,2.23828125,5,0.2962962962962963
36,2965,-104.04436382285115,33,0,0,1,26.230173826530642,0.943665,1.2592034923815818,0,91.6978988647461,-17.064987182617188,-0.7371759414672852,11.16104081497329,1.55078125,4,0.30303030303030304
37,2983,-112.06614899105107,18,0,0,1,28.124264470725905,0.943323,0.7763485917821527,0,89.94344329833984,-15.398615837097168,-0.9457547068595886,7.053465715263542,0.357177734375,4,0.3888888888888889
38,3035,-123.86440944141141,52,0,1,0,19.86592670519566,0.942335,1.3681352369917126,0,98.02277374267578,-16.864765167236328,-2.2588889598846436,20.44714547422307,1.3701171875,0,0.3076923076923077
39,3185,-322.55804202400054,150,0,0,1,16.031462139977112,0.939485,1.0150835673511027,0,107.01298522949219,-9.414290428161621,-10.00404167175293,51.80972518631889,3.154296875,3,0.19333333333333333
40,3240,-94.15906999918276,55,0,1,0,24.27731422776316,0.93844,1.215837113288316,0,93.48604583740234,-18.77680015563965,-2.4604082107543945,20.506987344494572,0.1849365234375,4,0.21818181818181817
41,3390,-61.102372442488914,150,0,0,0,11.238367112041296,0.93559,1.3773549392819404,1,110.80259704589844,-11.242308616638184,-7.152183532714844,54.74314158777554,1.8525390625,0,0.20666666666666667
42,3540,-18.042479734287568,150,0,0,0,12.919239093354577,0.93274,1.1211657113209368,1,107.56336212158203,-11.154683113098145,-2.0339579582214355,50.59579972593076,1.5810546875,5,0.22666666666666666
43,3690,-28.20109238452498,150,0,0,0,8.063368843014038,0.92989,1.005370723915597,1,116.7926254272461,-11.496977806091309,-5.698726177215576,57.64402505157275,2.130859375,0,0.25333333333333335
44,3737,-95.16078034336464,47,0,1,0,25.207161752019093,0.928997,1.1661469819856451,0,92.63488006591797,-19.487281799316406,-5.030978202819824,15.82797672179098,0.7216796875,5,0.2553191489361702
45,3785,-100.37421648573884,48,0,1,0,23.407992037376875,0.928085,1.173001387078936,0,94.6302490234375,-16.075664520263672,-5.093318939208984,16.60560191244851,0.376708984375,0,0.25
46,3926,-177.94928696843706,141,0,0,1,15.45344310067287,0.925406,1.081537410735767,0,106.15689849853516,-12.03979778289795,-10.439817428588867,46.526135870466646,2.05859375,3,0.22695035460992907
47,4076,-102.53524664860353,150,0,0,0,13.285084185339123,0.922556,1.1029645712176959,1,105.35831451416016,-15.94910717010498,-6.636706352233887,51.86810834472927,1.5625,1,0.2
48,4226,-27.756174749775823,150,0,0,0,14.550665202220598,0.919706,1.140402171400686,1,112.240234375,-5.6100382804870605,-4.046632289886475,56.46079560163272,1.806640625,0,0.21333333333333335
49,4276,-96.20693537767616,50,0,1,0,24.290995642580306,0.918756,0.9657674194872379,0,93.60472106933594,-16.813615798950195,-4.355761528015137,17.465910393271493,0.66845703125,0,0.22
50,4328,-96.65243469278327,52,0,1,0,25.72482639964406,0.917768,0.9864664873681389,0,92.12869262695312,-20.849288940429688,-4.308639049530029,17.582664917586747,0.6845703125,1,0.23076923076923078
51,4443,-99.78311690474152,115,0,1,0,17.464208863331013,0.915583,1.0469533353720022,0,101.00306701660156,-14.110273361206055,-3.307804584503174,40.44962786185351,0.720703125,4,0.21739130434782608
52,4520,-125.94083705922658,77,0,1,0,20.79864410062218,0.91412,1.180364689608286,0,99.30059051513672,-9.589814186096191,-1.3501204252243042,28.813233265369984,0.7939453125,0,0.23376623376623376
53,4591,-84.0551543434699,71,0,1,0,17.69963596778139,0.912771,0.9030041574487384,0,100.70010375976562,-14.467398643493652,-4.232748508453369,24.923303723511637,0.2939453125,0,0.2676056338028169
54,4664,-98.9537233763471,73,0,1,0,22.287575801049687,0.911384,1.103647804040819,0,95.82949829101562,-15.422411918640137,-4.709090232849121,26.121941830150217,0.216552734375,1,0.1917808219178082
55,4758,-109.23117835075789,94,0,0,1,18.040607718043294,0.909598,1.2853580976816568,0,100.30657196044922,-14.983744621276855,-0.8607432842254639,34.54706057942359,0.677734375,4,0.23404255319148937
56,4908,-87.25203913701156,150,0,0,0,7.591895699919447,0.906748,0.7784388977165023,1,113.36833190917969,-13.458271980285645,-5.698469161987305,55.538151852895275,0.99169921875,0,0.22666666666666666
57,5058,-56.7599711104551,150,0,0,0,7.394690726297111,0.903898,0.8484140219911933,1,114.55400085449219,-12.463966369628906,-4.129479885101318,57.039575253518656,0.80517578125,0,0.24
58,5168,-173.07503466423321,110,0,0,1,12.2370231372497,0.901808,1.3081262385303325,0,108.24857330322266,-15.83309268951416,-10.00769329071045,42.28726782056089,2.01953125,0,0.2636363636363636
