update,global_step,rollout_size,policy_loss,value_loss,entropy,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,500,500,-0.018450617499183863,1.3360484689474106,1.786537516862154,0.0059326875052647665,0.3336971402168274,0.009824219159781933,0.5456691980361938,0.20162853598594666
2,1000,500,-0.010850175458472222,0.3503289236687124,1.7838391363620758,0.00668976749147987,0.44315820932388306,0.008042968809604645,0.5381038784980774,0.20209622383117676
3,1500,500,-0.005744503912865184,0.589789972640574,1.7766101658344269,0.004589529788063373,0.19933408498764038,0.007988281548023224,0.5336694717407227,0.22068266570568085
4,2000,500,-0.016174593096366152,0.7815275471657515,1.7817728407680988,0.009149505429377314,0.3014039993286133,0.009875000454485416,0.5389224886894226,0.2006508857011795
5,2500,500,-0.00501364154752082,0.7408057386055589,1.775416400283575,0.006814478838350624,0.0680273175239563,0.009105469100177288,0.5309386849403381,0.2120703011751175
6,3000,500,-0.012168148532509804,1.8638110216706991,1.7598086409270763,0.008868123863067012,0.1233065128326416,0.00991796888411045,0.5245652794837952,0.24681805074214935
7,3500,500,-0.0035189453628845513,0.893160505220294,1.7438242472708225,0.003599810113882995,0.08320063352584839,0.01010156236588955,0.5205313563346863,0.26744702458381653
8,4000,500,-0.01168949791463092,1.7495189979672432,1.6993186101317406,0.005976018759611179,0.12181121110916138,0.008515625260770321,0.5335226058959961,0.3121001720428467
9,4500,500,-0.007064324512612075,1.5230903625488281,1.660839844495058,0.004366662333268323,0.17109626531600952,0.005906249862164259,0.5451579689979553,0.3637770116329193
10,5000,500,-0.013882125320378691,2.301360920071602,1.5893513560295105,0.007044179845252074,0.15169548988342285,0.004433593712747097,0.5650583505630493,0.3938296437263489
