update,global_step,rollout_size,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability
1,500,500,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225
2,1000,500,-0.007026221283013001,0.5840709102340043,1.785300835967064,0.009000000000000001,0.004177396641352971,0.18560755252838135,0.008937500417232513,0.5344569683074951,0.20636016130447388
3,1500,500,-0.010749082954134792,0.7321409909054637,1.774429403245449,0.008,0.006585028491826961,0.2739620804786682,0.011285156011581421,0.5295395255088806,0.21531879901885986
4,2000,500,-0.00642356465687044,1.5138588175177574,1.7729754857718945,0.007,0.00459033713923418,0.2469387650489807,0.007851562462747097,0.5394277572631836,0.2555346190929413
5,2500,500,-0.010653759527485818,2.402294557541609,1.7402690276503563,0.006,0.006111590137152234,0.2080150842666626,0.006355468649417162,0.5447158813476562,0.28610527515411377
6,3000,500,-0.01733401819365099,2.821139320731163,1.7314172089099884,0.004999999999999999,0.008421580285357777,0.27785956859588623,0.004957031458616257,0.5713278651237488,0.3293582499027252
7,3500,500,-0.009425967320566997,2.8825726993381977,1.7147832624614239,0.004,0.005987708502289024,0.5060092210769653,0.008859374560415745,0.5659112334251404,0.310548335313797
8,4000,500,-0.01609748840564862,3.0909634307026863,1.6634905710816383,0.002999999999999999,0.009416629087354522,0.23121339082717896,0.0035468749701976776,0.5751869082450867,0.3852716088294983
9,4500,500,-0.021336129226256162,2.40924209728837,1.6113282293081284,0.002,0.005268433769742842,0.452400267124176,0.005406249780207872,0.5719046592712402,0.3818775415420532
10,5000,500,-0.014167263667332008,2.114801038056612,1.6153778359293938,0.0009999999999999992,0.006096569893998094,0.6361184120178223,0.003976562526077032,0.5759376287460327,0.41555359959602356
