episode,update,optimized_in_update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
1,0,1,31,-108.16798784396511,31,0,1,0,7.855986206915511,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,0,88.66824340820312,-18.58631134033203,-1.4470559358596802,10.462938046260941,1.4404296875,4,0.3225806451612903,4,7,3,4,10,3
2,0,1,73,-106.52311912118518,42,0,0,1,5.371294009581941,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,0,92.09962463378906,-18.39794921875,-0.9909884929656982,14.07344358872702,1.46875,1,0.21428571428571427,8,9,5,2,9,9
3,0,1,143,-89.25332456811155,70,0,0,0,10.06184112558132,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,1,92.87646484375,-21.71388053894043,-9.612665176391602,22.895270696207913,1.7734375,3,0.2857142857142857,9,14,7,20,10,10
4,0,1,213,-98.64825169205304,70,0,0,0,7.325009974516826,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,1,94.30565643310547,-12.355484962463379,-9.953709602355957,21.796414591038186,2.974609375,3,0.2571428571428571,11,9,13,18,6,13
5,0,1,283,-47.20407840555198,70,0,0,0,6.536266128322137,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,1,90.93355560302734,-9.619734764099121,-3.9360721111297607,21.686221680265458,4.23046875,2,0.2571428571428571,6,10,18,12,14,10
6,0,1,352,-146.60148129591698,69,0,1,0,7.9139694353153525,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,0,92.05474090576172,-21.080806732177734,-6.06194543838501,21.544838543402413,0.6484375,1,0.2028985507246377,10,14,7,14,11,13
7,0,1,366,-116.20232695302347,14,0,0,1,7.825369513714437,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,0,87.68694305419922,-14.428178787231445,-0.7781543731689453,4.8728916492606915,0.257080078125,4,0.35714285714285715,3,0,1,0,5,5
8,0,1,436,-63.822499596019476,70,0,0,0,5.568556660760612,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,1,95.39786529541016,-15.938486099243164,-8.373287200927734,25.5620438843821,1.587890625,1,0.21428571428571427,13,15,14,11,4,13
9,0,1,461,-106.8823637874312,25,0,1,0,8.241412411403964,-0.020361227449029684,1.1451480649411678,1.7841419093310833,0.01,0.008205111691495404,0.2803744673728943,0.010148437693715096,0.5410796999931335,0.1987205147743225,0,87.85746765136719,-17.874269485473633,-1.3542978763580322,8.441191318697985,2.080078125,1,0.32,4,8,4,0,6,3
10,1,2,531,-30.798649097322453,70,0,0,0,3.5428313905187334,-0.007026221283013001,0.5840709102340043,1.785300835967064,0.009000000000000001,0.004177396641352971,0.18560755252838135,0.008937500417232513,0.5344569683074951,0.20636016130447388,1,92.54342651367188,-15.857292175292969,-4.91847562789917,22.489232010769545,1.4111328125,5,0.22857142857142856,9,11,11,12,11,16
