policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
stochastic,1,107.23155156677343,27,1,0,0,0,1.899736469340658,94.95045471191406,-12.95215892791748,-4.087926864624023,11.690260819232098,2.083984375,0,forward,0.48148148148148145,13,0,3,4,2,5
stochastic,2,-53.406526866489614,70,0,0,0,1,6.755550594299979,97.56370544433594,-8.911108016967773,-5.977036476135254,24.065087148323634,2.029296875,0,forward,0.21428571428571427,15,6,13,14,11,11
stochastic,3,-91.30303141852824,30,0,1,0,0,2.1558298292530225,94.34754180908203,-16.421777725219727,-2.5417819023132324,12.252792617444252,0.1273193359375,0,forward,0.4,12,5,3,2,5,3
stochastic,4,-110.62327948069343,64,0,1,0,0,5.619152732672105,100.76884460449219,-13.937832832336426,-2.6187174320220947,24.17394850385262,0.7314453125,0,forward,0.296875,19,9,11,8,13,4
stochastic,5,-90.93382932674156,23,0,1,0,0,2.7170909747834595,93.89268493652344,-16.00977897644043,-4.841973781585693,10.709790887668452,0.1917724609375,0,forward,0.5217391304347826,12,3,2,4,1,1
stochastic,6,87.2797857581893,33,1,0,0,0,1.9147830286753758,93.60786437988281,-15.420513153076172,-2.4529659748077393,13.176511501628237,1.3310546875,0,forward,0.3333333333333333,11,3,3,5,7,4
stochastic,7,-93.87649064612982,23,0,1,0,0,2.399560346668923,94.14846801757812,-15.61148738861084,-4.848677635192871,10.856464725622109,0.6181640625,0,forward,0.4782608695652174,11,4,3,3,1,1
stochastic,8,105.37317010328236,41,1,0,0,0,1.9999608773764554,93.5909652709961,-15.145220756530762,-1.99256432056427,12.91983983304498,1.3974609375,5,hover,0.2926829268292683,10,2,3,5,9,12
stochastic,9,109.47171614239657,38,1,0,0,0,1.9634925847540357,94.3682632446289,-12.993063926696777,-3.967594623565674,13.649406599393004,1.6318359375,0,forward,0.2894736842105263,11,6,9,2,4,6
stochastic,10,-104.03058597031394,20,0,1,0,0,7.113501840124551,88.31085205078125,-13.57761001586914,-1.4363662004470825,6.930805311605194,1.9912109375,4,down,0.3,4,2,4,1,6,3
stochastic,11,107.75158730583638,28,1,0,0,0,1.9114765660891686,93.64285278320312,-14.243605613708496,-4.094931125640869,12.177401434830877,1.17578125,0,forward,0.39285714285714285,11,4,5,3,3,2
stochastic,12,104.93089125544392,35,1,0,0,0,1.84465236440316,94.31768798828125,-16.043838500976562,-3.4801111221313477,13.837337237985857,0.31689453125,0,forward,0.3142857142857143,11,5,5,4,5,5
stochastic,13,106.12743622525541,35,1,0,0,0,1.9402911093771862,93.39822387695312,-15.160916328430176,-2.6752231121063232,12.651984135780546,0.9130859375,0,forward,0.2857142857142857,10,5,4,4,7,5
stochastic,14,-105.41920500074421,31,0,0,1,0,5.437918239410665,90.19597625732422,-14.850746154785156,-0.8783816695213318,8.9378917152004,2.234375,4,down,0.2903225806451613,6,2,3,3,9,8
stochastic,15,101.6061235695047,35,1,0,0,0,1.7634633893083391,94.8109359741211,-13.735382080078125,-4.547628879547119,13.977412039829463,1.2939453125,0,forward,0.34285714285714286,12,4,6,4,3,6
stochastic,16,-121.60842403403186,27,0,0,1,0,3.365926975865445,92.91437530517578,-13.735700607299805,-0.6376876831054688,9.993260414688146,1.5556640625,0,forward,0.3333333333333333,9,2,4,0,7,5
stochastic,17,112.14206056029784,27,1,0,0,0,1.8117226268321622,93.5712661743164,-15.255777359008789,-3.27776837348938,11.267985153501582,1.5888671875,0,forward,0.4074074074074074,11,4,3,2,3,4
stochastic,18,-94.84689315187354,46,0,1,0,0,2.3327235867741916,93.91167449951172,-15.957453727722168,-4.287243843078613,16.517556636642304,0.28173828125,0,forward,0.2391304347826087,11,7,6,8,8,6
stochastic,19,110.26236166243315,30,1,0,0,0,1.9062188138081861,93.30390167236328,-14.46036434173584,-2.725473642349243,13.367814879537832,2.5703125,0,forward,0.36666666666666664,11,3,4,5,7,0
stochastic,20,113.33468436514687,17,1,0,0,0,1.6470735354249353,93.95756530761719,-13.64924430847168,-3.696708917617798,9.608364207715857,1.86328125,0,forward,0.6470588235294118,11,0,2,2,1,1
