policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,139.2370319904372,31,1,0,0,0,1.9784626286089715,106.12625885009766,-12.086255073547363,-2.7002604007720947,21.602878624241576,1.90625,0,forward,0.8709677419354839,27,0,4,0,0,0
deterministic,2,139.23241270468526,32,1,0,0,0,1.9267914234102095,106.27748107910156,-12.194082260131836,-2.7961835861206055,21.776696012386687,1.8427734375,0,forward,0.875,28,0,4,0,0,0
deterministic,3,139.71090715297112,32,1,0,0,0,1.5880016629924454,106.96038818359375,-12.214974403381348,-2.573866844177246,22.454192156445295,1.8828125,0,forward,0.875,28,0,4,0,0,0
deterministic,4,139.59803166653066,32,1,0,0,0,1.6534996479280328,106.92829132080078,-12.274368286132812,-2.5800771713256836,22.414547187959528,1.869140625,0,forward,0.875,28,0,4,0,0,0
deterministic,5,139.75302345894144,32,1,0,0,0,1.5871958868020908,106.96954345703125,-12.219392776489258,-2.5840835571289062,22.45551583036184,1.8642578125,0,forward,0.875,28,0,4,0,0,0
deterministic,6,139.72129411982326,32,1,0,0,0,1.605111329244324,106.92102813720703,-12.216836929321289,-2.587994337081909,22.40553774124354,1.890625,0,forward,0.875,28,0,4,0,0,0
deterministic,7,139.70205590480617,32,1,0,0,0,1.6160343026846489,106.9505844116211,-12.247015953063965,-2.588815927505493,22.437065996880296,1.8447265625,0,forward,0.875,28,0,4,0,0,0
deterministic,8,139.70678411550614,32,1,0,0,0,1.61475120264731,106.98717498779297,-12.25993824005127,-2.5861406326293945,22.474290128711683,1.8603515625,0,forward,0.875,28,0,4,0,0,0
deterministic,9,139.8195536945909,32,1,0,0,0,1.56070994093717,106.96368408203125,-12.190009117126465,-2.590095281600952,22.458031859712474,1.8779296875,0,forward,0.875,28,0,4,0,0,0
deterministic,10,139.75527676404676,32,1,0,0,0,1.6056494275467623,106.97084045410156,-12.24885368347168,-2.6028037071228027,22.456851113712993,1.8466796875,0,forward,0.875,28,0,4,0,0,0
deterministic,11,139.6782320224593,32,1,0,0,0,1.6382020951430056,106.95313262939453,-12.275775909423828,-2.596205949783325,22.44113372714458,1.841796875,0,forward,0.875,28,0,4,0,0,0
deterministic,12,139.75885635717012,32,1,0,0,0,1.5968219834831947,106.95005798339844,-12.226569175720215,-2.595447063446045,22.435508830070248,1.86328125,0,forward,0.875,28,0,4,0,0,0
deterministic,13,139.60658014989124,32,1,0,0,0,1.6739432229692501,106.92733764648438,-12.302193641662598,-2.596794843673706,22.400340451090436,1.8310546875,0,forward,0.875,28,0,4,0,0,0
deterministic,14,139.74765295013796,32,1,0,0,0,1.5984620182008953,107.02478790283203,-12.261513710021973,-2.590484619140625,22.504868845156047,1.845703125,0,forward,0.875,28,0,4,0,0,0
deterministic,15,139.75981547000688,32,1,0,0,0,1.5791037361894689,107.00294494628906,-12.227836608886719,-2.583428382873535,22.48638935791825,1.8701171875,0,forward,0.875,28,0,4,0,0,0
deterministic,16,139.71959661702445,32,1,0,0,0,1.6065589881144295,106.99366760253906,-12.253538131713867,-2.5859482288360596,22.480135510774574,1.8681640625,0,forward,0.875,28,0,4,0,0,0
deterministic,17,139.61534726214919,32,1,0,0,0,1.6616188168090493,106.94221496582031,-12.293235778808594,-2.5894289016723633,22.421845193787885,1.841796875,0,forward,0.875,28,0,4,0,0,0
deterministic,18,139.7264684874255,32,1,0,0,0,1.5936947528099696,106.95893859863281,-12.22264575958252,-2.5797367095947266,22.451216883272824,1.8603515625,0,forward,0.875,28,0,4,0,0,0
deterministic,19,139.74571527475885,32,1,0,0,0,1.5989325852251444,106.97725677490234,-12.240592956542969,-2.590247631072998,22.464839832912187,1.873046875,0,forward,0.875,28,0,4,0,0,0
deterministic,20,139.67830877154293,32,1,0,0,0,1.640262867795389,106.95670318603516,-12.278128623962402,-2.5980618000030518,22.442526486081054,1.8525390625,0,forward,0.875,28,0,4,0,0,0
