episode,reward,steps,success,collision,out_of_altitude,final_distance
1,-82.2074791294867,55,0,0,1,22.28269739551254
2,-82.309860365788,56,0,0,1,22.308887316543053
3,-80.91066056536083,62,0,0,1,21.459288181667947
4,-82.3318419494955,57,0,0,1,22.294878594687724
5,-82.22990131636791,57,0,0,1,22.24390793162855
6,-82.21507254164264,58,0,0,1,22.21149410159051
7,-82.1043358608223,58,0,0,1,22.156125064060205
8,-82.10609116804581,59,0,0,1,22.132002857467487
9,-80.55576419304312,60,0,0,1,21.331839369966147
10,-82.22161443684143,57,0,0,1,22.239764352069773
11,-82.38241956740328,56,0,0,1,22.34516684246811
12,-82.19461312665517,56,0,0,1,22.251263696976643
13,-82.19056477636376,56,0,0,1,22.249239661626465
14,-80.81482918268512,60,0,0,1,21.46137172499161
15,-80.80267309386434,61,0,0,1,21.43029430655486
16,-82.2581947261799,57,0,0,1,22.258054356739475
17,-82.20004616926995,59,0,0,1,22.178980983622505
18,-82.10916416763075,59,0,0,1,22.13353921746443
19,-80.56851596486698,60,0,0,1,21.338215255878076
20,-80.506470010476,59,0,0,1,21.332192278682584
21,-82.1576990251631,55,0,0,1,22.257806786026137
22,-82.35595119619089,56,0,0,1,22.3319327317445
23,-82.23933079053387,56,0,0,1,22.27362322603613
24,-82.24717492676497,56,0,0,1,22.27754445703201
25,-80.81771852465378,61,0,0,1,21.43781639399673
26,-80.82912179875039,60,0,0,1,21.468518730144382
27,-82.284066284184,58,0,0,1,22.24599041553658
28,-82.15626078603827,58,0,0,1,22.182087386668663
29,-80.59504757736056,60,0,0,1,21.351480920350117
30,-80.5959142440621,61,0,0,1,21.326914395475633
31,-82.51851499162757,60,0,0,1,22.313214695076176
32,-82.28375347364326,56,0,0,1,22.295833730471156
33,-82.1446887315347,55,0,0,1,22.25130156177969
34,-82.18023678696494,55,0,0,1,22.269075452248938
35,-82.26302801850083,57,0,0,1,22.26047114289947
36,-80.77586896347543,61,0,0,1,21.4168917551823
37,-82.27163280789969,58,0,0,1,22.239774234719032
38,-82.10409529245527,58,0,0,1,22.15600484549003
39,-80.62738603221553,61,0,0,1,21.342650915095287
40,-80.56010376793019,60,0,0,1,21.334009017614147
41,-80.40038383403402,57,0,0,1,21.329149676639698
42,-82.37218603577925,56,0,0,1,22.340050848658816
43,-82.30739478289972,56,0,0,1,22.307654385099386
44,-82.20193065500604,55,0,0,1,22.2799231543544
45,-82.33214414649606,58,0,0,1,22.27002965040842
46,-82.10553237062246,56,0,0,1,22.20672331896028
47,-82.17299606520594,56,0,0,1,22.24045516625202
48,-80.88250877010869,62,0,0,1,21.44521207693478
49,-80.57539180712776,60,0,0,1,21.341653523503854
50,-80.58152844525826,60,0,0,1,21.344721635819482
