checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,selected
ppo_step_0002500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0002500.pt,2500,14000,deterministic,5,0.6,0.0,0.0,0.0,0.4,58.78716197722012,95.8,14.470140953631121,54.392058561854164,2.78046875,0
ppo_step_0005000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0005000.pt,5000,16500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-106.31542363527804,71.0,19.77262170332435,52.75290729898836,0.347216796875,0
ppo_step_0007500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0007500.pt,7500,19000,deterministic,5,0.0,0.2,0.0,0.2,0.8,-143.16280578286953,143.2,54.290255458881724,101.76508582239599,1.5755859375,0
ppo_step_0010000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0010000.pt,10000,21500,deterministic,5,0.0,0.0,1.0,1.0,0.0,-92.9386690178147,63.0,8.475635156121777,42.83634358950218,0.729296875,0
ppo_step_0012500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0012500.pt,12500,24000,deterministic,5,0.0,0.4,0.4,0.8,0.2,-84.81124830177092,82.6,16.786866104370876,55.079254680904135,1.19700927734375,0
ppo_step_0015000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0015000.pt,15000,26500,deterministic,5,0.4,0.6,0.0,0.6,0.0,33.89929768778977,61.6,2.3107157176947952,36.32799559391954,1.7763671875,0
ppo_step_0017500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0017500.pt,17500,29000,deterministic,5,1.0,0.0,0.0,0.0,0.0,154.0331882662859,52.6,1.8644240577953297,36.42608607518118,1.79296875,0
ppo_step_0020000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0020000.pt,20000,31500,deterministic,5,0.8,0.4,0.0,0.4,0.0,93.70327599322972,52.8,1.8356855914611003,36.70334118520213,1.8865234375,0
ppo_step_0022500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0022500.pt,22500,34000,deterministic,5,0.0,0.0,0.0,0.0,1.0,-76.35464898524535,150.0,46.04333734900326,98.82942794241731,1.7822265625,0
ppo_step_0025000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0025000.pt,25000,36500,deterministic,5,0.0,0.0,0.0,0.0,1.0,-79.19046404561904,150.0,39.291826636439154,96.63596546690127,1.72109375,0
ppo_step_0027500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0027500.pt,27500,39000,deterministic,5,0.0,0.4,0.0,0.4,0.6,-102.96722444784686,135.6,38.581642057368526,95.06855629549068,0.8015625,0
ppo_step_0030000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0030000.pt,30000,41500,deterministic,5,1.0,0.0,0.0,0.0,0.0,147.65458008157952,53.4,1.9630503653179965,38.640228576000354,1.6525390625,0
ppo_best.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_best.pt,,41500,deterministic,5,1.0,0.0,0.0,0.0,0.0,146.58766396300726,55.0,1.7813552123135044,39.6734273398978,1.378125,1
ppo_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_final.pt,,41500,deterministic,5,1.0,0.0,0.0,0.0,0.0,147.841250855828,53.4,1.921652313222986,38.6203652401889,1.6546875,0
