phase,checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,rank,advanced,selected
stage1,ppo_step_0020000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0020000.pt,20000,31500,deterministic,5,1.0,0.0,0.0,0.0,0.0,150.14327996152235,55.8,1.725601229864647,38.09252303682349,1.8146484375,1,1,0
stage1,ppo_step_0017500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0017500.pt,17500,29000,deterministic,5,0.4,0.4,0.0,0.4,0.2,-58.83363271884732,112.0,41.84550779226993,81.13628240223943,0.9563232421875,2,1,0
stage1,ppo_step_0015000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0015000.pt,15000,26500,deterministic,5,0.4,0.6,0.0,0.6,0.0,32.545202040124764,60.6,2.260335637550238,36.62981934761385,1.7154296875,3,1,0
stage1,ppo_step_0002500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0002500.pt,2500,14000,deterministic,5,0.4,0.4,0.2,0.6,0.0,-5.616637800198785,74.2,15.303056518285874,50.00763804841908,1.8676513671875,4,0,0
stage1,ppo_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_final.pt,,41500,deterministic,5,0.2,0.0,0.0,0.0,0.8,-42.79388709303083,131.4,33.172928201598026,82.73144352302435,1.821484375,5,0,0
stage1,ppo_best.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_best.pt,,41500,deterministic,5,0.2,0.0,0.0,0.0,0.8,-37.604758820114355,131.4,34.20102135978348,83.83607503205465,1.6791015625,6,0,0
stage1,ppo_step_0012500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0012500.pt,12500,24000,deterministic,5,0.2,0.4,0.4,0.8,0.0,-37.83314690108786,64.6,7.441715331669309,42.63273192575208,1.181494140625,7,0,0
stage1,ppo_step_0022500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0022500.pt,22500,34000,deterministic,5,0.0,0.0,0.0,0.0,1.0,-60.30496529273686,150.0,34.34300412668328,92.67450473011488,2.414453125,8,0,0
stage1,ppo_step_0025000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0025000.pt,25000,36500,deterministic,5,0.0,0.0,0.0,0.0,1.0,-72.80762907267423,150.0,39.94782040437008,98.44133669306373,1.7330078125,9,0,0
stage1,ppo_step_0030000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\curriculum_stage03_33m_30k_seed7_stable_v3_stage3_pilot\models\ppo_step_0030000.pt,30000,41500,deterministic,5,0.0,0.0,0.0,0.0,1.0,-106.37870947066158,150.0,43.95525155332773,92.4745446837912,1.419189453125,10,0,0
