policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,145.5548119927737,55,1,0,0,0,1.975917533652407,119.1625747680664,-18.176557540893555,-1.9088584184646606,39.89865243402925,1.322265625,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,2,149.33890798982918,56,1,0,0,0,1.6181267947644737,119.11955261230469,-18.33121681213379,-2.4850685596466064,39.55792466403791,1.7060546875,0,forward,0.7321428571428571,41,9,4,1,1,0
deterministic,3,149.27506100712392,55,1,0,0,0,1.9640699098410277,119.07521057128906,-17.652883529663086,-2.541991949081421,38.80202752390246,1.78125,0,forward,0.7454545454545455,41,8,4,1,1,0
deterministic,4,145.78377477585096,55,1,0,0,0,1.9155831117075552,119.1383285522461,-18.27264404296875,-1.9150688648223877,39.89290599329773,1.1767578125,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,5,147.35424987654034,53,1,0,0,0,1.9894001089825548,118.2240219116211,-17.508298873901367,-1.8121850490570068,38.39734977581492,1.783203125,0,forward,0.7547169811320755,40,8,4,0,1,0
deterministic,6,145.2571281186508,55,1,0,0,0,1.9197839998133233,119.1298828125,-18.277301788330078,-1.8930110931396484,39.90824854239521,1.18359375,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,7,145.2512594258275,55,1,0,0,0,1.9440208134844479,119.14473724365234,-18.235126495361328,-1.898897409439087,39.90212098447627,1.2841796875,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,8,149.26126864976573,56,1,0,0,0,1.615033243007051,119.108642578125,-18.322622299194336,-2.477858066558838,39.55229193803666,1.5244140625,0,forward,0.7321428571428571,41,9,4,1,1,0
deterministic,9,145.6494478602239,55,1,0,0,0,1.8567529073573459,119.10785675048828,-18.38367462158203,-1.9058831930160522,39.88169177737241,1.0810546875,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,10,145.21561855839536,55,1,0,0,0,1.9303284241001206,119.13761901855469,-18.261259078979492,-1.8953877687454224,39.89365394591653,1.2607421875,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,11,145.61310363082535,55,1,0,0,0,1.9127988197565597,119.13436889648438,-18.279441833496094,-1.909339427947998,39.896321491108175,1.232421875,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,12,149.25969560692323,56,1,0,0,0,1.6404998472660834,119.13138580322266,-18.308164596557617,-2.4777772426605225,39.56890888860557,1.7041015625,0,forward,0.7321428571428571,41,9,4,1,1,0
deterministic,13,145.40554140335735,55,1,0,0,0,1.9126300082584737,119.12290954589844,-18.2746639251709,-1.8995041847229004,39.873822936090576,1.2529296875,0,forward,0.7636363636363637,42,8,4,0,1,0
deterministic,14,149.37948007308984,56,1,0,0,0,1.6370773559932128,119.13887023925781,-18.319042205810547,-2.4935145378112793,39.575132477827914,1.7041015625,0,forward,0.7321428571428571,41,9,4,1,1,0
deterministic,15,149.26787195726013,56,1,0,0,0,1.6587509416164745,119.14056396484375,-18.280967712402344,-2.482912302017212,39.55989530331271,1.7314453125,0,forward,0.7321428571428571,41,9,4,1,1,0
deterministic,16,147.16509604697475,54,1,0,0,0,1.4964761820849384,118.34527587890625,-18.168432235717773,-1.930894136428833,39.08761794461384,1.4814453125,0,forward,0.7592592592592593,41,8,4,0,1,0
