policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
stochastic,1,138.56058934879508,87,1,0,0,0,1.4188154572221023,117.31101989746094,-17.860492706298828,-3.661748170852661,43.88557173180318,2.94140625,0,forward,0.4482758620689655,39,11,8,9,10,10
stochastic,2,151.9569795120048,68,1,0,0,0,1.8456323025066697,116.57056427001953,-17.6577205657959,-3.320409059524536,37.97528576391554,2.4609375,0,forward,0.5588235294117647,38,9,7,5,7,2
stochastic,3,146.24020272629627,72,1,0,0,0,1.9212084010683474,118.05448150634766,-17.23879051208496,-3.6157705783843994,38.55132581073887,0.982421875,0,forward,0.5555555555555556,40,10,9,3,5,5
stochastic,4,141.87401237379694,73,1,0,0,0,1.9214284774684487,116.98458099365234,-18.27309799194336,-1.4132333993911743,39.503403010399865,1.583984375,0,forward,0.547945205479452,40,8,6,3,8,8
stochastic,5,149.4122680096382,76,1,0,0,0,1.9911048228948551,116.21599578857422,-17.77449607849121,-3.080841302871704,39.98554363888827,1.3359375,0,forward,0.5,38,12,9,3,7,7
stochastic,6,-70.64184900407571,71,0,1,0,0,3.1603740320415863,114.9281234741211,-18.087575912475586,-4.046742916107178,38.76303460450687,1.3603515625,0,forward,0.5070422535211268,36,12,8,5,5,5
stochastic,7,146.59075473909166,79,1,0,0,0,1.4542643216558586,117.2258529663086,-18.236553192138672,-4.094489574432373,42.48838140647401,2.748046875,0,forward,0.4936708860759494,39,12,9,6,6,7
stochastic,8,146.49340041729374,71,1,0,0,0,1.9878189503108017,117.49473571777344,-17.11751937866211,-2.5648300647735596,38.69076546771068,2.583984375,0,forward,0.5492957746478874,39,8,5,6,9,4
stochastic,9,148.7328636799738,65,1,0,0,0,1.799631029869997,116.39218139648438,-17.912015914916992,-2.658226728439331,38.522407048709795,2.146484375,0,forward,0.5846153846153846,38,9,7,4,7,0
stochastic,10,-46.71277589224195,62,0,1,0,0,2.3602409206533017,115.83070373535156,-17.916505813598633,-3.7843329906463623,36.80227445590363,1.0107421875,0,forward,0.5967741935483871,37,10,5,4,3,3
stochastic,11,156.08573918477325,60,1,0,0,0,1.9423746418981984,117.26776123046875,-17.156896591186523,-2.895477533340454,36.646169336393235,2.943359375,0,forward,0.65,39,9,6,1,2,3
stochastic,12,150.3934423294922,76,1,0,0,0,1.9940910612722924,117.12066650390625,-17.183656692504883,-2.63219952583313,39.931815054039404,2.91015625,0,forward,0.5263157894736842,40,11,10,3,7,5
stochastic,13,147.5105637566277,87,1,0,0,0,1.7501602156528455,117.94234466552734,-17.297283172607422,-2.9089434146881104,44.390647778846734,2.67578125,0,forward,0.45977011494252873,40,13,11,6,10,7
stochastic,14,-72.96095610251989,30,0,1,0,0,17.239663930846355,101.69862365722656,-12.776589393615723,-3.4598803520202637,17.41638478077035,1.7021484375,0,forward,0.7,21,2,5,0,0,2
stochastic,15,-79.34976318102667,103,0,1,0,0,2.7220321092387727,115.68431091308594,-18.326374053955078,-4.617661476135254,46.52662571242088,2.23046875,0,forward,0.3592233009708738,37,18,14,8,9,17
stochastic,16,-60.64461185323397,150,0,0,0,1,23.384555586272736,123.70137023925781,-41.55550003051758,-5.066893577575684,75.4733713976818,0.8974609375,0,forward,0.32,48,48,14,13,15,12
stochastic,17,141.09619237546084,89,1,0,0,0,1.8462803218150967,117.40211486816406,-17.248437881469727,-3.3086814880371094,44.79398064908663,2.97265625,0,forward,0.449438202247191,40,15,14,5,9,6
stochastic,18,148.80003887375756,73,1,0,0,0,1.890524166182127,118.8132095336914,-17.490097045898438,-2.730271816253662,40.71573061286386,1.7734375,0,forward,0.5616438356164384,41,10,8,3,6,5
stochastic,19,154.37101999684114,70,1,0,0,0,1.698703478116382,119.07996368408203,-17.990646362304688,-2.789936065673828,42.39128738101521,2.94140625,0,forward,0.5857142857142857,41,11,7,3,5,3
stochastic,20,131.7030818950778,100,1,0,0,0,1.5733129725614945,116.86546325683594,-17.819263458251953,-3.4433517456054688,47.45937964822955,2.603515625,0,forward,0.38,38,16,13,9,13,11
stochastic,21,-31.619893132933335,150,0,0,0,1,14.874511508944087,122.75310516357422,-33.00242233276367,-4.078522205352783,68.55336289836377,2.373046875,0,forward,0.3,45,41,19,12,18,15
stochastic,22,147.82822419713443,73,1,0,0,0,1.7991159355697681,116.85520935058594,-17.60267448425293,-3.613760232925415,39.2903021489386,2.939453125,0,forward,0.5342465753424658,39,11,8,2,3,10
stochastic,23,-73.08780014017178,28,0,1,0,0,17.975009664548477,100.84359741210938,-12.947225570678711,-3.1509575843811035,17.44817677503438,0.73779296875,0,forward,0.75,21,2,5,0,0,0
stochastic,24,-22.456651870528724,150,0,0,0,1,7.1387787085968455,124.50010681152344,-20.535669326782227,-4.79559850692749,67.42503569039998,2.443359375,0,forward,0.31333333333333335,47,28,21,19,23,12
stochastic,25,-26.362298346889965,150,0,0,0,1,7.44589478626603,120.84861755371094,-25.738887786865234,-2.0400283336639404,69.24756397352483,2.33984375,0,forward,0.29333333333333333,44,33,22,11,19,21
stochastic,26,149.24958371066018,74,1,0,0,0,1.6586525928638858,118.63567352294922,-18.299158096313477,-4.198878765106201,44.05853065153272,2.169921875,0,forward,0.5405405405405406,40,13,8,5,4,4
stochastic,27,143.5829355573813,71,1,0,0,0,1.9171429548167254,117.53450012207031,-17.262142181396484,-3.6977784633636475,39.9718097657035,2.8828125,0,forward,0.5492957746478874,39,11,8,3,3,7
stochastic,28,-6.399500837395198,150,0,0,0,1,9.37027644554086,125.01554870605469,-24.954811096191406,-3.212200880050659,65.4961114638035,1.908203125,0,forward,0.31333333333333335,47,31,17,14,22,19
stochastic,29,151.66881755197915,84,1,0,0,0,1.772608756093225,117.89608001708984,-17.27066993713379,-3.1148324012756348,44.064635938346505,2.041015625,0,forward,0.47619047619047616,40,13,12,4,7,8
stochastic,30,147.71792744516182,85,1,0,0,0,1.6166404438881297,116.68721771240234,-17.868995666503906,-3.337632417678833,42.16530511576683,2.201171875,0,forward,0.4470588235294118,38,11,8,8,9,11
stochastic,31,141.01308141258104,87,1,0,0,0,1.7991278376425879,118.19849395751953,-17.29960823059082,-3.1815083026885986,42.50878479388654,0.94287109375,0,forward,0.45977011494252873,40,13,10,4,8,12
stochastic,32,-32.734796485981036,150,0,0,0,1,7.430457661547883,123.57162475585938,-22.227205276489258,-6.347492694854736,70.15040437087764,2.3125,0,forward,0.30666666666666664,46,36,28,15,18,7
stochastic,33,154.6622895905455,62,1,0,0,0,1.555936859475633,117.53760528564453,-17.52193832397461,-3.2681691646575928,39.04916575167292,2.220703125,0,forward,0.6290322580645161,39,9,6,2,1,5
stochastic,34,-49.39597190686021,63,0,1,0,0,2.331735366084234,115.83295440673828,-17.92622947692871,-3.715353012084961,37.47238382605599,1.994140625,0,forward,0.6031746031746031,38,10,6,3,3,3
stochastic,35,145.2023225716298,88,1,0,0,0,1.5921205605874573,117.91301727294922,-17.452573776245117,-2.9036436080932617,44.11175347491781,2.806640625,0,forward,0.4431818181818182,39,15,11,4,7,12
stochastic,36,-52.52823043159868,82,0,1,0,0,2.537614188284954,115.4836654663086,-17.9044189453125,-3.005308151245117,40.597863720980335,0.274658203125,0,forward,0.45121951219512196,37,14,10,4,7,10
stochastic,37,-43.15878875735807,150,0,0,0,1,22.60009467432706,120.33594512939453,-41.48611831665039,-2.5848844051361084,74.12899262299491,0.990234375,0,forward,0.3,45,44,13,12,18,18
stochastic,38,101.16089681590877,117,1,0,0,0,1.5490214150467063,118.41385650634766,-17.9443416595459,-3.882800579071045,53.90500480793043,2.220703125,0,forward,0.3504273504273504,41,24,22,9,14,7
stochastic,39,141.63727142145976,84,1,0,0,0,1.8861141554786356,119.03196716308594,-18.76411247253418,-4.362532615661621,44.348355385122645,1.884765625,0,forward,0.4880952380952381,41,16,12,4,5,6
stochastic,40,-74.40755372447782,97,0,1,0,0,2.137138254615995,116.1465072631836,-18.049701690673828,-4.004016876220703,42.80931419103681,2.9765625,0,forward,0.38144329896907214,37,17,12,7,10,14
stochastic,41,150.63395510202062,82,1,0,0,0,1.6096503136585862,117.1037368774414,-17.629905700683594,-3.44050669670105,41.73080583905545,2.494140625,0,forward,0.47560975609756095,39,13,9,4,6,11
stochastic,42,146.54138052889954,85,1,0,0,0,1.8477057406764457,116.82271575927734,-17.46722412109375,-3.2970023155212402,41.33525988375403,3.42578125,0,forward,0.4588235294117647,39,12,9,6,9,10
stochastic,43,-49.66473742574387,77,0,1,0,0,2.972904614113087,114.94002532958984,-18.098379135131836,-2.820343017578125,41.03616373776025,0.61474609375,0,forward,0.4805194805194805,37,13,10,4,7,6
stochastic,44,137.70920156922722,76,1,0,0,0,1.9857155367206982,116.71395111083984,-17.461381912231445,-3.6197359561920166,39.09067528947017,1.02734375,0,forward,0.5131578947368421,39,10,7,5,6,9
