episode,reward,steps,success,collision,out_of_altitude,final_distance
1,-62.95254091093633,26,0,1,0,13.380227589117228
2,-63.01940194150512,26,0,1,0,13.413658588477519
3,-62.80121121461218,26,0,1,0,13.304563645313218
4,-62.8618194140065,26,0,1,0,13.334867636343063
5,-62.874576212962396,26,0,1,0,13.341245379925802
6,-62.73268010159974,26,0,1,0,13.270297324244472
7,-62.76057818404657,26,0,1,0,13.2842462912857
8,-62.791472811731566,26,0,1,0,13.299694304853329
9,-62.6410830228768,26,0,1,0,13.22449871070081
10,-62.055098999256884,27,0,1,0,12.906506773073046
11,-62.68003613979139,26,0,1,0,13.243975829518396
12,-62.37899434624921,27,0,1,0,13.068454446569204
13,-62.342034573724774,27,0,1,0,13.049975046485097
14,-62.79934555406579,26,0,1,0,13.303630534796548
15,-63.06011693896351,26,0,1,0,13.434015603130822
16,-63.076525475668326,26,0,1,0,13.442220077565969
17,-63.07615576852262,26,0,1,0,13.442035083523718
18,-62.964792814531414,26,0,1,0,13.386353680710304
19,-63.023519627393185,26,0,1,0,13.415717572575653
20,-63.01033409164058,26,0,1,0,13.409124665760283
21,-62.98423623476898,26,0,1,0,13.39607622488167
22,-62.79777214161953,26,0,1,0,13.302843830432465
23,-62.84219668796256,26,0,1,0,13.325055543243696
24,-62.864209815228726,26,0,1,0,13.336062246254643
25,-62.813217183369275,26,0,1,0,13.310565865129238
26,-62.76863159734294,26,0,1,0,13.28827299793388
27,-62.70780919835063,26,0,1,0,13.257862012365687
28,-62.73192393978919,26,0,1,0,13.269919028661075
29,-62.721383768543504,26,0,1,0,13.264649504211743
30,-62.807771679344555,26,0,1,0,13.30784353155273
31,-62.03807647671451,27,0,1,0,12.897995858297248
32,-62.363707353748126,27,0,1,0,13.060810810523131
33,-63.12542398482141,26,0,1,0,13.46666975203341
34,-62.91690222903605,26,0,1,0,13.362408873397086
35,-63.04435877038154,26,0,1,0,13.426136584453188
36,-62.908450023388085,26,0,1,0,13.358182910681585
37,-63.03982974676638,26,0,1,0,13.423872286573559
38,-63.089384536243024,26,0,1,0,13.448649467383921
39,-63.01526067013971,26,0,1,0,13.411587468718922
40,-62.75621403354314,26,0,1,0,13.282064847540774
41,-62.87095359724342,26,0,1,0,13.339434490502164
42,-62.74006278201584,26,0,1,0,13.273988590270328
43,-62.79961878281193,26,0,1,0,13.303766731137776
44,-62.8126615049262,26,0,1,0,13.310288025001267
45,-62.74649625957882,26,0,1,0,13.277205329051824
46,-62.70995205883436,26,0,1,0,13.25893322867959
47,-62.57933741863542,26,0,1,0,13.193625982762308
48,-62.49982469470764,27,0,1,0,13.128869481002889
49,-62.17683589241568,27,0,1,0,12.967375845195384
50,-62.0958594518637,27,0,1,0,12.926887556701057
