checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,selected
ppo_step_0002500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0002500.pt,2500,2500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-140.99314427433,78.2,23.69750729220865,58.97262879495929,0.51884765625,0
ppo_step_0005000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0005000.pt,5000,5000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-127.1490665274326,71.0,20.393279147709325,54.81880756615453,0.109912109375,0
ppo_step_0007500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0007500.pt,7500,7500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-66.31927431651287,27.0,12.88206142797721,20.061270856232436,0.1375244140625,0
ppo_step_0010000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0010000.pt,10000,10000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-72.82896176158097,23.0,17.88006624084238,15.837877230440114,0.1830078125,0
ppo_step_0012500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0012500.pt,12500,12500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-107.9734884005932,94.2,20.76701260861671,58.46179366486473,0.66455078125,0
ppo_step_0015000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0015000.pt,15000,15000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-44.97498823461101,55.0,2.9907216666914835,35.87804406176289,0.2075439453125,0
ppo_step_0017500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0017500.pt,17500,17500,deterministic,5,0.0,0.0,0.0,0.0,1.0,-62.655072973807215,150.0,38.3883330820928,94.90626258830801,0.72998046875,0
ppo_step_0020000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0020000.pt,20000,20000,deterministic,5,0.6,0.4,0.0,0.4,0.0,69.01625044082527,70.8,2.5952104322946674,42.87536166603307,0.606298828125,0
ppo_step_0022500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0022500.pt,22500,22500,deterministic,5,0.0,0.0,0.0,0.0,1.0,-15.04589805859269,150.0,3.568652041794394,46.354255346281654,0.9658203125,0
ppo_step_0025000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0025000.pt,25000,25000,deterministic,5,0.0,0.0,0.0,0.0,1.0,-11.37701963021175,150.0,11.720269289047382,55.01567395537653,2.262890625,0
ppo_step_0027500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0027500.pt,27500,27500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-48.72308417916376,53.2,2.650483805201609,34.33639063100111,2.32578125,0
ppo_step_0030000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0030000.pt,30000,30000,deterministic,5,1.0,0.0,0.0,0.0,0.0,157.25754190927273,52.0,1.9613359737523655,34.452119561572786,2.344921875,0
ppo_step_0032500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0032500.pt,32500,32500,deterministic,5,0.4,0.0,0.0,0.0,0.6,26.47201496107478,112.6,2.7359253686874867,42.54126042481897,1.90166015625,0
ppo_step_0035000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0035000.pt,35000,35000,deterministic,5,1.0,0.0,0.0,0.0,0.0,148.2394424488617,60.4,1.9594769658438267,39.12460866253544,1.325,0
ppo_step_0037500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0037500.pt,37500,37500,deterministic,5,1.0,0.0,0.0,0.0,0.0,153.01385088110132,55.0,1.6804646845479987,37.28933612019604,2.36484375,0
ppo_step_0040000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0040000.pt,40000,40000,deterministic,5,0.8,0.2,0.0,0.2,0.0,110.75810179901669,46.6,4.7618075287440496,32.27363026367359,1.0103515625,0
ppo_step_0042500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0042500.pt,42500,42500,deterministic,5,1.0,0.0,0.0,0.0,0.0,151.5763469099292,51.0,1.6671133294532166,37.07635149383867,1.8173828125,1
ppo_step_0045000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0045000.pt,45000,45000,deterministic,5,1.0,0.0,0.0,0.0,0.0,152.0321523887877,53.0,1.6688879393529645,38.58058981811418,2.327734375,0
ppo_best.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_best.pt,,36000,deterministic,5,1.0,0.0,0.0,0.0,0.0,152.33420431823566,57.6,1.9019673361872982,37.63894518117242,1.54765625,0
ppo_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_final.pt,,45000,deterministic,5,1.0,0.0,0.0,0.0,0.0,151.83269849777204,53.0,1.7130893711826443,38.58267022738262,2.330859375,0
