phase,checkpoint,checkpoint_path,checkpoint_run_step,agent_cumulative_steps,policy_mode,episodes,success_rate,collision_rate,altitude_violation_rate,unsafe_rate,timeout_rate,average_reward,average_steps,average_final_distance,average_path_length_m,average_min_depth_m,rank,advanced,selected
stage1,ppo_final.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_final.pt,,45000,deterministic,5,1.0,0.0,0.0,0.0,0.0,146.5705639219128,53.6,1.739954381137672,38.83351071485123,2.469921875,1,1,0
stage1,ppo_step_0045000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0045000.pt,45000,45000,deterministic,5,1.0,0.0,0.0,0.0,0.0,147.63845422823886,53.6,1.741722397456901,38.66399278145825,2.491796875,2,1,0
stage1,ppo_step_0042500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0042500.pt,42500,42500,deterministic,5,1.0,0.0,0.0,0.0,0.0,145.43421646282064,52.6,1.7648267055786468,38.37992541901882,1.8310546875,3,1,0
stage1,ppo_step_0037500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0037500.pt,37500,37500,deterministic,5,1.0,0.0,0.0,0.0,0.0,151.19533113018207,55.6,1.796151337820761,36.95057701849494,2.5671875,4,0,0
stage1,ppo_best.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_best.pt,,36000,deterministic,5,1.0,0.0,0.0,0.0,0.0,151.43933801136126,55.2,1.8011386237555165,36.379328938056545,2.4025390625,5,0,0
stage1,ppo_step_0032500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0032500.pt,32500,32500,deterministic,5,1.0,0.2,0.0,0.2,0.0,134.6139445693456,53.6,1.7571872466253322,35.236503149906625,2.1921875,6,0,0
stage1,ppo_step_0035000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0035000.pt,35000,35000,deterministic,5,0.8,0.0,0.0,0.0,0.2,107.41133893275563,74.0,2.3394418523630316,38.63541511361429,1.891845703125,7,0,0
stage1,ppo_step_0030000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0030000.pt,30000,30000,deterministic,5,0.8,0.4,0.0,0.4,0.0,95.25155631125557,52.8,1.992480971434567,34.77766429008771,2.458203125,8,0,0
stage1,ppo_step_0022500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0022500.pt,22500,22500,deterministic,5,0.6,0.2,0.0,0.2,0.2,59.7840829170331,75.6,5.320096863578769,38.594105297783635,0.7498046875,9,0,0
stage1,ppo_step_0025000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0025000.pt,25000,25000,deterministic,5,0.4,0.0,0.0,0.0,0.6,59.421106874714766,111.8,4.380300570945542,43.89622192101043,2.1046875,10,0,0
stage1,ppo_step_0017500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0017500.pt,17500,17500,deterministic,5,0.4,0.2,0.0,0.2,0.4,25.442319177137684,93.0,15.973366834835948,58.165741003641685,1.9013671875,11,0,0
stage1,ppo_step_0027500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0027500.pt,27500,27500,deterministic,5,0.4,0.6,0.0,0.6,0.0,32.98495334489529,65.4,2.4069466871045115,36.34500161612342,0.9977294921875,12,0,0
stage1,ppo_step_0012500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0012500.pt,12500,12500,deterministic,5,0.2,0.8,0.0,0.8,0.0,-26.446391378761554,30.0,14.38251475378562,20.078437015097272,0.490380859375,13,0,0
stage1,ppo_step_0020000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0020000.pt,20000,20000,deterministic,5,0.0,0.8,0.0,0.8,0.2,-58.91030184023068,80.4,12.111232183381485,48.88482812102003,1.638916015625,14,0,0
stage1,ppo_step_0015000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0015000.pt,15000,15000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-58.51730528063831,47.2,9.735070226506462,30.101021394480323,1.495703125,15,0,0
stage1,ppo_step_0007500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0007500.pt,7500,7500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-67.83739290464406,26.0,13.331351439249579,19.595518732111998,0.41025390625,16,0,0
stage1,ppo_step_0005000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0005000.pt,5000,5000,deterministic,5,0.0,0.0,1.0,1.0,0.0,-115.32752784955824,65.4,16.609925195449968,50.1629681138074,1.3515625,17,0,0
stage1,ppo_step_0010000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0010000.pt,10000,10000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-72.97291536887755,23.8,17.93904894894428,16.27760057596781,0.8497314453125,18,0,0
stage1,ppo_step_0040000.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0040000.pt,40000,40000,deterministic,5,0.0,1.0,0.0,1.0,0.0,-72.97996130090907,24.4,17.939274224350708,16.251674582590034,0.95341796875,19,0,0
stage1,ppo_step_0002500.pt,D:\AirSim\rl_drone_navigation\experiments\airsimnh\ppo\scratch_33m_45k_seed7_stable_v3_scratch\models\ppo_step_0002500.pt,2500,2500,deterministic,5,0.0,1.0,0.0,1.0,0.0,-154.07555269949586,83.6,26.507333958549545,60.636144142077214,0.5270263671875,20,0,0
