policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,152.1264044637832,53,1,0,0,0,1.6623233133461515,116.54985046386719,-18.215822219848633,-2.2005581855773926,38.57152894048136,0.1732177734375,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,2,152.17150192284763,53,1,0,0,0,1.6671430697415153,116.53922271728516,-18.219377517700195,-2.2029998302459717,38.55155973329545,0.1561279296875,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,3,152.0285899444602,53,1,0,0,0,1.6784228652210753,116.54991149902344,-18.187294006347656,-2.1965432167053223,38.57382905705954,0.166015625,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,4,152.17207197095294,53,1,0,0,0,1.6731696927206674,116.54842376708984,-18.191755294799805,-2.2050909996032715,38.56118432524947,0.1500244140625,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,5,151.95837019670722,53,1,0,0,0,1.6922686032600125,116.56112670898438,-18.147445678710938,-2.1937294006347656,38.57579323924099,0.147216796875,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,6,151.3371083606265,53,1,0,0,0,1.8134440401176022,117.37513732910156,-17.45347023010254,-2.1966018676757812,38.579143837131895,0.1514892578125,0,forward,0.7358490566037735,39,9,5,0,0,0
deterministic,7,151.33224582290072,53,1,0,0,0,1.8356842886221383,117.37869262695312,-17.43204689025879,-2.197305202484131,38.575031289716634,0.1474609375,0,forward,0.7358490566037735,39,9,5,0,0,0
deterministic,8,152.09953353670318,53,1,0,0,0,1.65603125780299,116.53366088867188,-18.255325317382812,-2.1987557411193848,38.56185538936622,0.1417236328125,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,9,152.08580648835397,53,1,0,0,0,1.6546198899336626,116.53462219238281,-18.259946823120117,-2.1957333087921143,38.59164664420564,0.1412353515625,0,forward,0.7169811320754716,38,10,5,0,0,0
deterministic,10,151.9396821840321,53,1,0,0,0,1.6749042072958045,116.55049896240234,-18.196500778198242,-2.1933610439300537,38.57526707216699,0.141845703125,0,forward,0.7169811320754716,38,10,5,0,0,0
