episode,update,optimized_in_update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,entropy_coef,approx_kl,explained_variance,activation_saturation,activation_abs_mean,max_action_probability,timeout,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
1,0,1,31,-105.11399279220097,31,0,1,0,29.125006805930774,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,0,88.67537689208984,-18.620140075683594,-1.4469059705734253,10.481704913682908,1.45703125,4,0.3225806451612903,4,7,3,4,10,3
2,0,1,73,-101.87800842848796,42,0,0,1,25.750755032196803,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,0,92.09278106689453,-18.38483238220215,-0.9803069233894348,14.118865746642028,1.478515625,1,0.21428571428571427,8,9,5,2,9,9
3,0,1,151,-175.40958279404532,78,0,0,1,25.43013729386106,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,0,93.63158416748047,-22.26844024658203,-10.366814613342285,25.02619220299665,1.7978515625,3,0.28205128205128205,10,16,8,22,11,11
4,0,1,215,-155.7444660955103,64,0,0,1,26.237139551393845,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,0,93.6467514038086,-11.626837730407715,-10.229493141174316,19.973337427720455,4.35546875,3,0.28125,10,7,12,18,5,12
5,0,1,365,-73.76438304175277,150,0,0,0,17.903443854158134,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,1,101.05638885498047,-12.788928985595703,-4.605409622192383,46.259096622809764,0.54833984375,4,0.19333333333333333,19,23,27,24,29,28
6,0,1,483,-160.2766168395089,118,0,1,0,17.803640456128782,-0.02140322740888223,1.2149213068187237,1.7833266481757164,0.01,0.008780777025094721,0.48600542545318604,0.010332031175494194,0.5431733131408691,0.19623085856437683,0,100.4537353515625,-21.679290771484375,-6.256330490112305,42.24431804334423,0.78076171875,1,0.2457627118644068,18,29,20,14,16,21
7,1,2,628,-169.6603994243822,145,0,1,0,10.569927953513881,-0.009830211536609568,0.49616953218355775,1.7772348038852215,0.009898876404494382,0.002920782982982928,0.5785543918609619,0.011679687537252903,0.5432813763618469,0.22275298833847046,0,107.83660125732422,-15.793437004089355,-4.681563854217529,49.30899093618027,0.7041015625,5,0.20689655172413793,27,22,20,21,25,30
8,1,2,743,-108.94918017609746,115,0,1,0,17.987350100554423,-0.009830211536609568,0.49616953218355775,1.7772348038852215,0.009898876404494382,0.002920782982982928,0.5785543918609619,0.011679687537252903,0.5432813763618469,0.22275298833847046,0,100.77362823486328,-13.153549194335938,-3.7510733604431152,38.39803813373803,0.2386474609375,5,0.24347826086956523,20,16,20,13,18,28
9,1,2,893,-62.96093882140741,150,0,0,0,10.473362589843271,-0.009830211536609568,0.49616953218355775,1.7772348038852215,0.009898876404494382,0.002920782982982928,0.5785543918609619,0.011679687537252903,0.5432813763618469,0.22275298833847046,1,110.83325958251953,-11.957180976867676,-6.410196781158447,53.33638247012795,2.513671875,0,0.20666666666666667,31,21,24,23,24,27
10,2,3,1043,-80.57462471297441,150,0,0,0,22.22865522179641,-0.003901318123098463,0.2312835156917572,1.7658556513488293,0.009797752808988765,0.0011580669574868807,0.784248948097229,0.009820312261581421,0.5475228428840637,0.2266750931739807,1,105.71408081054688,-0.7453166842460632,-6.82483434677124,50.125611709257925,0.84326171875,2,0.22,25,15,33,25,25,27
11,2,3,1193,-91.0077988103875,150,0,0,0,21.189281314287122,-0.003901318123098463,0.2312835156917572,1.7658556513488293,0.009797752808988765,0.0011580669574868807,0.784248948097229,0.009820312261581421,0.5475228428840637,0.2266750931739807,1,104.23921203613281,-3.04331111907959,-6.235016822814941,50.69916453125617,2.943359375,2,0.25333333333333335,23,25,38,18,22,24
12,2,3,1343,-80.40275451013434,150,0,0,0,20.739982085651203,-0.003901318123098463,0.2312835156917572,1.7658556513488293,0.009797752808988765,0.0011580669574868807,0.784248948097229,0.009820312261581421,0.5475228428840637,0.2266750931739807,1,104.14984893798828,-3.800747871398926,-6.601047039031982,45.502972364854095,1.9306640625,5,0.24,22,18,34,19,21,36
13,2,3,1493,-180.5161018104427,150,0,0,0,29.30515939636503,-0.003901318123098463,0.2312835156917572,1.7658556513488293,0.009797752808988765,0.0011580669574868807,0.784248948097229,0.009820312261581421,0.5475228428840637,0.2266750931739807,1,107.0698013305664,7.437387943267822,-9.622925758361816,55.72623442977145,0.27197265625,2,0.2866666666666667,26,14,43,26,21,20
14,3,4,1562,-114.94559770293193,69,0,1,0,24.00433789739416,-0.00829855352640152,0.24040901334956288,1.7481211572885513,0.009696629213483146,0.0033782976388465613,0.44777363538742065,0.009410155937075615,0.5498465299606323,0.25620338320732117,0,94.0663833618164,-15.493395805358887,-4.5730299949646,23.61968634251703,0.10247802734375,3,0.18840579710144928,11,10,10,13,12,13
15,3,4,1712,-57.908796586918406,150,0,0,0,25.720217564746584,-0.00829855352640152,0.24040901334956288,1.7481211572885513,0.009696629213483146,0.0033782976388465613,0.44777363538742065,0.009410155937075615,0.5498465299606323,0.25620338320732117,1,105.66487884521484,3.529503345489502,-5.494533538818359,52.163171211863784,2.1015625,2,0.23333333333333334,24,11,35,23,24,33
16,3,4,1862,-40.7151161469736,150,0,0,0,22.52497324451225,-0.00829855352640152,0.24040901334956288,1.7481211572885513,0.009696629213483146,0.0033782976388465613,0.44777363538742065,0.009410155937075615,0.5498465299606323,0.25620338320732117,1,103.69124603271484,-1.4479687213897705,-3.489705801010132,48.18826105845753,1.98828125,5,0.23333333333333334,22,17,33,18,25,35
