policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
deterministic,1,151.01947954821634,52,1,0,0,0,1.9409267447797784,118.25264739990234,-17.335474014282227,-2.2139129638671875,37.80047530334861,0.1253662109375,0,forward,0.7692307692307693,40,8,4,0,0,0
deterministic,2,-58.35320721333878,150,0,0,0,1,31.200238835026177,146.33682250976562,-31.468181610107422,-4.408053874969482,87.90828162771187,0.12408447265625,0,forward,0.49333333333333335,74,43,21,6,6,0
deterministic,3,153.72237792750502,51,1,0,0,0,1.61964011046153,116.78604888916016,-17.867172241210938,-2.4334826469421387,37.42793263021844,0.123779296875,0,forward,0.7647058823529411,39,8,4,0,0,0
deterministic,4,151.61889541448852,51,1,0,0,0,1.8591743743914095,117.44982147216797,-17.352567672729492,-2.268173933029175,36.67248296649985,0.1239013671875,0,forward,0.7647058823529411,39,8,4,0,0,0
deterministic,5,152.57420986169885,56,1,0,0,0,1.8540971664455728,119.27184295654297,-18.104812622070312,-3.5258395671844482,38.69520604513953,0.12457275390625,0,forward,0.7321428571428571,41,9,4,2,0,0
deterministic,6,-25.66577567493076,150,0,0,0,1,8.859293290311134,125.70108795166016,-22.707841873168945,-4.365848064422607,73.86912187719884,0.1239013671875,0,forward,0.32,48,46,36,6,14,0
deterministic,7,-78.54296426680189,150,0,0,0,1,40.33173432220101,157.1844482421875,-27.41160011291504,-4.364580154418945,100.5716987027538,0.123291015625,0,forward,0.5733333333333334,86,38,19,5,2,0
deterministic,8,-72.6377930221073,24,0,1,0,0,17.86464841274991,101.0396728515625,-12.737679481506348,-2.742284059524536,16.28724504131446,0.12384033203125,0,forward,0.875,21,0,3,0,0,0
deterministic,9,-72.61049297327618,24,0,1,0,0,17.853244549658637,101.06551361083984,-12.70151424407959,-2.7438180446624756,16.319352476104136,0.12310791015625,0,forward,0.875,21,0,3,0,0,0
deterministic,10,152.3704776134042,55,1,0,0,0,1.6919736662832148,119.18679809570312,-18.13591194152832,-2.9049761295318604,38.606690164155154,0.12322998046875,0,forward,0.7454545454545455,41,9,4,1,0,0
deterministic,11,150.85955401124318,52,1,0,0,0,1.9574406450804156,118.26698303222656,-17.31838607788086,-2.2080788612365723,37.798749533548666,0.123291015625,0,forward,0.7692307692307693,40,8,4,0,0,0
deterministic,12,153.88531136285096,52,1,0,0,0,1.8259838345687944,118.27606964111328,-17.36942481994629,-2.458766222000122,36.523105671766416,0.1226806640625,0,forward,0.7692307692307693,40,8,4,0,0,0
deterministic,13,154.08378840759224,53,1,0,0,0,1.8840657877764624,118.36663818359375,-17.251928329467773,-2.9676663875579834,36.94737355800078,0.1226806640625,0,forward,0.7547169811320755,40,8,4,1,0,0
deterministic,14,-68.8124688149377,150,0,0,0,1,39.723865898722764,156.3334197998047,-28.495868682861328,-3.689112901687622,102.67688123085432,0.1229248046875,0,forward,0.5733333333333334,86,38,19,5,2,0
deterministic,15,-32.14738409085105,150,0,0,0,1,11.609048217579986,127.95912170410156,-23.695362091064453,-5.989650726318359,74.77173380121528,0.12255859375,0,forward,0.34,51,45,34,7,11,2
deterministic,16,151.37460296960649,54,1,0,0,0,1.7170661328539456,119.11526489257812,-18.219593048095703,-2.338595151901245,38.235987031932815,0.122314453125,0,forward,0.7592592592592593,41,9,4,0,0,0
deterministic,17,149.08107880079933,52,1,0,0,0,1.9583146517846377,118.22924041748047,-17.34950828552246,-2.1305809020996094,38.235294863128566,0.1220703125,0,forward,0.7692307692307693,40,8,4,0,0,0
deterministic,18,-72.63951329944413,24,0,1,0,0,17.871752275798944,101.02893829345703,-12.745841979980469,-2.7470083236694336,16.273424347182797,0.12213134765625,0,forward,0.875,21,0,3,0,0,0
deterministic,19,-71.12553411848965,150,0,0,0,1,40.65949213484565,157.6348876953125,-26.925376892089844,-3.7712247371673584,97.44043034182718,0.12200927734375,0,forward,0.58,87,34,15,6,5,3
deterministic,20,151.7748207340791,52,1,0,0,0,1.9121174885564602,118.28250122070312,-17.34218406677246,-2.2811477184295654,37.396649111147234,0.122314453125,0,forward,0.7692307692307693,40,8,4,0,0,0
deterministic,21,-62.938146012677564,150,0,0,0,1,41.06676615077772,158.05947875976562,-26.91375160217285,-3.135634183883667,105.81489047377656,0.12225341796875,0,forward,0.58,87,37,21,4,1,0
deterministic,22,-51.45692816685211,150,0,0,0,1,28.02691640030457,139.78372192382812,-36.336524963378906,-3.954012393951416,81.88066825988204,0.12188720703125,0,forward,0.4266666666666667,64,49,22,6,9,0
deterministic,23,150.324373777413,51,1,0,0,0,1.9008113814457945,117.40145874023438,-17.36045265197754,-2.171372413635254,37.41611249734594,0.12255859375,0,forward,0.7647058823529411,39,8,4,0,0,0
deterministic,24,152.79028877346212,55,1,0,0,0,1.6954482053874094,119.20162963867188,-18.155561447143555,-2.926460027694702,38.248514666835305,0.12127685546875,0,forward,0.7454545454545455,41,9,4,1,0,0
deterministic,25,153.8602455608561,55,1,0,0,0,1.7150780971175057,119.21920776367188,-18.139633178710938,-2.9750218391418457,38.166748440486636,0.12109375,0,forward,0.7454545454545455,41,9,4,1,0,0
deterministic,26,-72.65810438189972,24,0,1,0,0,17.87627137117447,101.02862548828125,-12.738227844238281,-2.744812250137329,16.27236487585265,0.12255859375,0,forward,0.875,21,0,3,0,0,0
deterministic,27,151.92521800909978,56,1,0,0,0,1.8631747507138687,119.30348205566406,-18.12813949584961,-3.4991376399993896,38.44658637209463,0.12115478515625,0,forward,0.7321428571428571,41,9,4,2,0,0
deterministic,28,151.7954535831494,54,1,0,0,0,1.694199269696217,119.10354614257812,-18.285646438598633,-2.296865940093994,38.576566104199046,0.12152099609375,0,forward,0.7592592592592593,41,9,4,0,0,0
deterministic,29,153.75723555299524,54,1,0,0,0,1.9437451164860127,118.97914123535156,-17.528091430664062,-3.07096004486084,37.39891306904952,0.120849609375,0,forward,0.7592592592592593,41,8,4,1,0,0
deterministic,30,152.88071582492336,54,1,0,0,0,1.783868852627207,118.38578796386719,-17.448806762695312,-3.522223711013794,37.35484359124748,0.12078857421875,0,forward,0.7407407407407407,40,8,4,2,0,0
