policy_mode,episode,reward,steps,success,collision,out_of_altitude,timeout,final_distance,final_x,final_y,final_z,path_length_m,min_depth_m,dominant_action,dominant_action_name,dominant_action_fraction,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
stochastic,1,147.63039098429405,64,1,0,0,0,1.8446788806911878,116.66502380371094,-17.85704803466797,-3.9096126556396484,37.45105727195236,0.1181640625,0,forward,0.59375,38,10,6,4,4,2
stochastic,2,-34.781555267077465,150,0,0,0,1,17.430793112349473,129.10118103027344,-32.20515060424805,-4.28070592880249,69.39706654171992,0.117919921875,0,forward,0.34,51,36,14,17,20,12
stochastic,3,153.77181647187953,61,1,0,0,0,1.997541036925062,116.600830078125,-17.4061279296875,-2.9239397048950195,35.815800437335575,0.1180419921875,0,forward,0.6229508196721312,38,8,5,2,3,5
stochastic,4,-55.996869080423515,63,0,1,0,0,3.0101472183671296,114.83953857421875,-18.316011428833008,-2.8006725311279297,34.8890836674435,0.11810302734375,0,forward,0.5714285714285714,36,9,5,2,4,7
stochastic,5,-66.10106672638653,68,0,1,0,0,2.572458134940317,115.75361633300781,-17.91545295715332,-1.8351596593856812,40.04230091585772,0.11810302734375,0,forward,0.5588235294117647,38,11,8,2,6,3
stochastic,6,154.94762496565681,64,1,0,0,0,1.6995005916394545,116.77335357666016,-17.65622329711914,-2.843668222427368,37.61521367196075,0.11798095703125,0,forward,0.59375,38,10,7,2,4,3
stochastic,7,-80.8874800672419,93,0,0,1,0,7.051771532170599,123.77039337158203,-22.038043975830078,-0.8621333837509155,47.48271383220861,0.11822509765625,0,forward,0.5053763440860215,47,15,7,2,10,12
stochastic,8,143.46772987838497,65,1,0,0,0,1.8389437817042897,117.20484924316406,-17.503353118896484,-3.857360601425171,36.86332996577338,0.11822509765625,0,forward,0.6,39,9,6,4,4,3
stochastic,9,-27.717503421565382,150,0,0,0,1,17.57816060949217,129.56655883789062,-32.053035736083984,-3.084491729736328,67.5844513273838,0.118408203125,0,forward,0.35333333333333333,53,39,19,10,18,11
stochastic,10,156.34152350223474,62,1,0,0,0,1.6009206506094054,119.17816162109375,-18.324771881103516,-3.193387508392334,39.733371774277,0.1182861328125,0,forward,0.6612903225806451,41,11,6,1,1,2
stochastic,11,-15.706514740925702,150,0,0,0,1,11.443207394708311,124.67522430419922,-28.057292938232422,-4.2851128578186035,62.90457026438506,0.1180419921875,0,forward,0.32,48,37,20,10,16,19
stochastic,12,134.00263601137357,74,1,0,0,0,1.724967266313719,118.125732421875,-17.915756225585938,-4.260293960571289,40.60185418216834,0.1180419921875,0,forward,0.5405405405405406,40,11,8,5,5,5
stochastic,13,144.35718221656776,70,1,0,0,0,1.964530938561361,119.04037475585938,-18.298635482788086,-4.291898727416992,39.837875231967466,0.1182861328125,0,forward,0.5857142857142857,41,12,7,3,2,5
stochastic,14,149.94592964547678,68,1,0,0,0,1.8596658674291,118.23676300048828,-17.777620315551758,-4.284030437469482,39.19911012759826,0.11785888671875,0,forward,0.5882352941176471,40,11,7,4,4,2
stochastic,15,-75.70763144596897,34,0,1,0,0,17.991060587171194,100.83357238769531,-12.933493614196777,-3.305821180343628,18.211610186227475,0.1239013671875,0,forward,0.5882352941176471,20,3,6,1,2,2
stochastic,16,148.08585508335756,73,1,0,0,0,1.8462917892263986,119.24088287353516,-18.706005096435547,-4.045685291290283,41.773729099401244,0.11773681640625,0,forward,0.5616438356164384,41,14,9,3,4,2
stochastic,17,151.49719283986946,63,1,0,0,0,1.9166939080893899,118.32648468017578,-17.373117446899414,-2.232059955596924,37.78298020343675,0.1177978515625,0,forward,0.6349206349206349,40,9,7,0,4,3
stochastic,18,-78.39411724447605,26,0,1,0,0,18.003935087151447,100.77372741699219,-13.129624366760254,-2.060270309448242,16.498409435742452,0.1180419921875,0,forward,0.7692307692307693,20,1,3,0,2,0
stochastic,19,156.2210191869795,57,1,0,0,0,1.7756213981801214,118.27218627929688,-17.409196853637695,-3.4897868633270264,36.26129088047693,0.11767578125,0,forward,0.7017543859649122,40,7,4,2,1,3
stochastic,20,150.57718972769348,63,1,0,0,0,1.715612972898725,116.93325805664062,-17.603984832763672,-3.4706168174743652,35.55246747060638,0.11822509765625,0,forward,0.6190476190476191,39,7,5,3,4,5
