episode,reward,steps,success,collision,out_of_altitude,final_distance
1,106.5815824442517,6,1,0,0,1.55926821232048
2,106.58393717534057,6,1,0,0,1.558092685879803
3,106.60362456752944,6,1,0,0,1.5482480796169158
4,106.59904192280132,6,1,0,0,1.5505394019809713
5,106.59352993292435,6,1,0,0,1.5532953969194507
6,106.60303052934069,6,1,0,0,1.548546008879739
7,106.5970405319049,6,1,0,0,1.5515400974291789
8,106.60976783030559,6,1,0,0,1.545176442371329
9,106.60125323191811,6,1,0,0,1.5494337333650468
10,106.59711467053212,6,1,0,0,1.5515030281155697
11,106.59373340401928,6,1,0,0,1.5531945715404456
12,106.61097576717609,6,1,0,0,1.544571568296758
13,106.61809335622746,6,1,0,0,1.5410136852678948
14,106.63995244069108,6,1,0,0,1.5300877775190131
15,106.6845540333603,6,1,0,0,1.5077833467014794
16,106.62772956873758,6,1,0,0,1.53619557901284
17,106.70996129117162,6,1,0,0,1.495079717795814
18,106.6385801702732,6,1,0,0,1.5307702782450257
19,106.64850278446765,6,1,0,0,1.5258089711477993
20,106.75202181744295,6,1,0,0,1.4740494546601501
