episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl
1,1,5700,-104.11187206161435,94,0,0,1,9.705965749906568,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
2,1,5713,-94.89227098721932,13,0,0,1,7.121166127574723,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
3,1,5825,-124.22952894010135,112,0,0,1,19.3147941961256,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
4,1,5866,-90.79747005137892,41,0,0,1,4.373764751764401,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
5,1,5899,114.53994620066365,33,1,0,0,1.9050595729674165,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
6,1,5915,-92.80151408869884,16,0,0,1,6.000790396427805,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
7,1,5967,-96.48380907572427,52,0,0,1,6.941935174777973,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
8,1,6010,-89.24725064296624,43,0,0,1,3.5486555033105645,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
9,1,6051,-89.59078867843061,41,0,0,1,3.7704265588282966,0.0037532924907281995,833.6280755996704,1.7004030793905258,0.018374400329776108
10,2,6158,-107.12609769718476,107,0,0,1,10.888079030419835,0.040257859975099564,223.18431282043457,1.7485532760620117,0.07803059701109305
11,2,6296,-118.73194871053911,138,0,1,0,15.916004992185385,0.040257859975099564,223.18431282043457,1.7485532760620117,0.07803059701109305
12,2,6446,-32.05992606828863,150,0,0,0,22.27999321597175,0.040257859975099564,223.18431282043457,1.7485532760620117,0.07803059701109305
13,2,6508,-99.72675572061209,62,0,0,1,8.313408490140255,0.040257859975099564,223.18431282043457,1.7485532760620117,0.07803059701109305
14,3,6658,-13.409157212178252,150,0,0,0,12.954608787916564,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
15,3,6770,-105.40623907992097,112,0,0,1,9.90315153904635,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
16,3,6847,-104.85589888235536,77,0,1,0,10.502979167252631,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
17,3,6960,-104.16985587484444,113,0,0,1,9.259958119249681,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
18,3,7110,4.891372235769256,150,0,0,0,3.80434406394283,-0.008450090244878083,164.06755757331848,1.7544998116791248,0.016874013235792518
19,4,7260,-1.1738539481150032,150,0,0,0,6.836957610973339,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
20,4,7342,112.5887142981681,82,1,0,0,1.6556730327434022,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
21,4,7368,-98.22783051594652,26,0,0,1,8.463945439800717,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
22,4,7382,-100.17331941831759,14,0,0,1,9.736691708244658,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
23,4,7490,110.62933645847177,108,1,0,0,1.9853619525915678,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
24,4,7640,1.3633225354501586,150,0,0,0,5.568368914102377,-0.009556051110848784,368.370628118515,1.7479421868920326,0.0076340591767802835
25,5,7790,-4.669261992880782,150,0,0,0,8.58466163335623,-0.011386815283913165,164.98494029045105,1.7072160094976425,0.010606007184833288
26,5,7879,-101.20800090547982,89,0,0,1,8.37903063456737,-0.011386815283913165,164.98494029045105,1.7072160094976425,0.010606007184833288
27,5,7987,-108.61801033984501,108,0,1,0,11.609035806838344,-0.011386815283913165,164.98494029045105,1.7072160094976425,0.010606007184833288
28,5,8119,-106.50782928955539,132,0,0,1,9.95394528169354,-0.011386815283913165,164.98494029045105,1.7072160094976425,0.010606007184833288
29,6,8269,0.8435304446784323,150,0,0,0,5.828264500829147,-0.011303903884254396,66.94729781150818,1.692777942866087,0.01293392849038355
30,6,8337,-94.61461012078352,68,0,0,1,5.607334786466712,-0.011303903884254396,66.94729781150818,1.692777942866087,0.01293392849038355
31,6,8487,-7.26861458585681,150,0,0,0,9.88433792984425,-0.011303903884254396,66.94729781150818,1.692777942866087,0.01293392849038355
32,6,8637,0.8427608233372827,150,0,0,0,5.828649770158806,-0.011303903884254396,66.94729781150818,1.692777942866087,0.01293392849038355
33,7,8742,110.94193991942055,105,1,0,0,1.9040597663646759,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
34,7,8850,110.66435514718151,108,1,0,0,1.9678526082366952,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
35,7,9000,-1.3523618106599724,150,0,0,0,6.926211542245827,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
36,7,9086,-101.19761997609217,86,0,0,1,8.448840624961921,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
37,7,9157,112.80662918131331,71,1,0,0,1.8217174084292092,-0.003453559707850218,448.29436206817627,1.653809692710638,0.006303680071141571
38,8,9307,-16.478383807702333,150,0,0,0,14.489222085678614,-0.006305905058979988,68.42995110154152,1.6168980300426483,0.008830969891278073
39,8,9454,-113.83377406530082,147,0,0,1,13.241917669566241,-0.006305905058979988,68.42995110154152,1.6168980300426483,0.008830969891278073
40,8,9604,-2.2900949053089645,150,0,0,0,7.395078089570324,-0.006305905058979988,68.42995110154152,1.6168980300426483,0.008830969891278073
41,9,9729,-103.88490160611582,125,0,0,1,8.817481439973752,-0.007967861776705831,62.96805998682976,1.5466347448527813,0.014429406612180173
42,9,9879,-0.9195716482857617,150,0,0,0,6.709816461058721,-0.007967861776705831,62.96805998682976,1.5466347448527813,0.014429406612180173
43,9,10029,4.807735911561129,150,0,0,0,3.846162681135272,-0.007967861776705831,62.96805998682976,1.5466347448527813,0.014429406612180173
44,9,10179,0.6567020576431044,150,0,0,0,5.9216796080942835,-0.007967861776705831,62.96805998682976,1.5466347448527813,0.014429406612180173
45,10,10329,3.8426394794796437,150,0,0,0,4.3287104420876314,-0.006233724649064243,8.260573476552963,1.511087752878666,0.006395520700607449
46,10,10479,5.7201239276701905,150,0,0,0,3.389968217992361,-0.006233724649064243,8.260573476552963,1.511087752878666,0.006395520700607449
47,10,10629,-1.2014783312555968,150,0,0,0,6.850769347455259,-0.006233724649064243,8.260573476552963,1.511087752878666,0.006395520700607449
48,11,10779,5.904820867725504,150,0,0,0,3.297619747964705,-0.003928518621250987,177.68250286579132,1.5003429278731346,0.003711331490194425
49,11,10835,-94.72371010274183,56,0,0,1,5.961885688286756,-0.003928518621250987,177.68250286579132,1.5003429278731346,0.003711331490194425
50,11,10906,-91.75807722323692,71,0,0,1,4.1040692485342944,-0.003928518621250987,177.68250286579132,1.5003429278731346,0.003711331490194425
