episode,reward,steps,success,collision,out_of_altitude,final_distance
1,112.44909414811073,10,1,0,0,1.5258762865272966
2,112.39150848214126,10,1,0,0,1.554457461242488
3,112.38859779797897,10,1,0,0,1.5559128033236345
4,112.36197149505091,10,1,0,0,1.569428288222365
5,112.3763030449874,10,1,0,0,1.5620850100086856
6,112.35281594052417,10,1,0,0,1.5738285622403034
7,112.43168080580121,10,1,0,0,1.534401689450465
8,112.42823422257943,10,1,0,0,1.536306249292936
9,112.4126149510645,10,1,0,0,1.5439346168188257
10,112.46105449994343,10,1,0,0,1.5197148423793585
11,112.44839882901654,10,1,0,0,1.526012287804854
12,112.42382158633265,10,1,0,0,1.5385032425814908
13,112.45653873585773,10,1,0,0,1.5221539926537853
14,112.5029260905173,10,1,0,0,1.4987734872437348
15,112.37422196153788,10,1,0,0,1.5633016590343842
16,112.40303946077996,10,1,0,0,1.5489036301926666
17,112.42111106443272,10,1,0,0,1.5398678283662894
18,112.37631093820401,10,1,0,0,1.5622585666458095
19,112.50548269217452,10,1,0,0,1.4975007462638084
20,112.44413690249952,10,1,0,0,1.5283549093328979
