episode,update,global_step,reward,steps,success,collision,out_of_altitude,final_distance,policy_loss,value_loss,entropy,approx_kl
1,1,197,-66.96699122642697,197,0,1,0,46.39501031465759,0.0011419574148021638,153.96118712425232,1.7860719785094261,0.006549411686137319
2,2,399,17.215995583245643,202,0,0,1,51.67798836910641,-0.017240157758351415,2.0921637639403343,1.7591346949338913,0.021948582376353443
3,3,548,-60.739049280899046,149,0,1,0,44.48114009875046,-0.0022005095379427075,347.3532476425171,1.6409370228648186,0.017230129800736904
4,3,673,-60.35325346556308,125,0,1,0,44.88750217915185,-0.0022005095379427075,347.3532476425171,1.6409370228648186,0.017230129800736904
5,3,767,-57.964603886164916,94,0,1,0,44.468268374195944,-0.0022005095379427075,347.3532476425171,1.6409370228648186,0.017230129800736904
6,4,843,-57.683787901851026,76,0,1,0,44.77776939729584,0.00224388693459332,320.0935707092285,1.6881922408938408,0.009148125245701522
7,4,930,-57.904714655495326,87,0,1,0,44.61387202919181,0.00224388693459332,320.0935707092285,1.6881922408938408,0.009148125245701522
8,4,1024,-57.4947577064916,94,0,1,0,44.23391883983146,0.00224388693459332,320.0935707092285,1.6881922408938408,0.009148125245701522
9,5,1145,28.718794395848374,121,0,0,1,47.951478248446115,0.012746201478876173,9.369704201817513,1.729338176548481,0.009584283514413983
10,5,1245,30.987077838225904,100,0,0,1,47.342975782331166,0.012746201478876173,9.369704201817513,1.729338176548481,0.009584283514413983
11,6,1355,24.501694593993303,110,0,0,1,50.33513886373258,-0.02256144373677671,115.50944256782532,1.630433402955532,0.009527981921564788
12,6,1474,-60.20927975442057,119,0,1,0,44.96623725211245,-0.02256144373677671,115.50944256782532,1.630433402955532,0.009527981921564788
13,7,1575,30.87466854451937,101,0,0,1,47.37363215885379,0.03114540781825781,7.193783074617386,1.7357018093268077,0.033664300106465816
14,7,1654,20.068764124591077,79,0,0,1,53.32715792429008,0.03114540781825781,7.193783074617386,1.7357018093268077,0.033664300106465816
15,7,1732,24.524065212520007,78,0,0,1,51.12395355446924,0.03114540781825781,7.193783074617386,1.7357018093268077,0.033664300106465816
16,8,1824,-57.45721435163301,92,0,1,0,44.264593336545786,0.0049299321447809534,325.1602605183919,1.6477510432402294,0.03950100368820131
17,8,1954,-60.3041293284175,130,0,1,0,44.73793969260304,0.0049299321447809534,325.1602605183919,1.6477510432402294,0.03950100368820131
18,8,2045,-59.461389192936046,91,0,1,0,45.29168075719729,0.0049299321447809534,325.1602605183919,1.6477510432402294,0.03950100368820131
19,9,2143,32.54985975184202,98,0,0,1,46.61168558237995,0.0028463435592129827,8.278982147574425,1.728289172053337,0.02528743486618623
20,9,2212,24.08644860522618,69,0,0,1,51.56774212850037,0.0028463435592129827,8.278982147574425,1.728289172053337,0.02528743486618623
21,9,2297,17.89507215909204,85,0,0,1,54.26343035156744,0.0028463435592129827,8.278982147574425,1.728289172053337,0.02528743486618623
22,10,2378,20.5381178053687,81,0,0,1,53.04181654368594,-0.0005299477488733828,4.662844181060791,1.747997596859932,0.007223042368423194
23,10,2487,24.14071114348748,109,0,0,1,50.54063845677867,-0.0005299477488733828,4.662844181060791,1.747997596859932,0.007223042368423194
24,11,2571,14.914292539767455,84,0,0,1,55.779561271896206,-0.004104616120457649,122.59374729792277,1.6123415132363637,0.030265940974156063
25,11,2681,33.62288758769515,110,0,0,1,45.77509619273807,-0.004104616120457649,122.59374729792277,1.6123415132363637,0.030265940974156063
26,11,2782,-58.31215143866209,101,0,1,0,44.467061880060314,-0.004104616120457649,122.59374729792277,1.6123415132363637,0.030265940974156063
27,12,2867,26.20646932302775,85,0,0,1,50.10828003993024,-0.00838262215256691,112.02735900878906,1.599427990615368,0.010440237179864198
28,12,2935,31.369310669546092,68,0,0,1,47.951311096340426,-0.00838262215256691,112.02735900878906,1.599427990615368,0.010440237179864198
29,12,3006,-57.18115473087539,71,0,1,0,44.651452811808014,-0.00838262215256691,112.02735900878906,1.599427990615368,0.010440237179864198
30,13,3080,30.80189590216521,74,0,0,1,48.08503820964666,0.018325982615351677,11.136793971061707,1.603915348649025,0.032768183620646596
31,13,3162,25.302359115939165,82,0,0,1,50.63536042861603,0.018325982615351677,11.136793971061707,1.603915348649025,0.032768183620646596
32,13,3237,27.108008743948904,75,0,0,1,49.90753561461117,0.018325982615351677,11.136793971061707,1.603915348649025,0.032768183620646596
33,13,3314,23.874977773591855,77,0,0,1,51.47349727393332,0.018325982615351677,11.136793971061707,1.603915348649025,0.032768183620646596
34,14,3351,5.861490077902862,37,0,0,1,61.4807696624927,0.02340253721922636,212.9874143600464,1.6023123264312744,0.052037608344107866
35,14,3445,-58.1504730299345,94,0,1,0,44.561111961337566,0.02340253721922636,212.9874143600464,1.6023123264312744,0.052037608344107866
36,14,3537,-60.63663821420794,92,0,1,0,45.854833808548115,0.02340253721922636,212.9874143600464,1.6023123264312744,0.052037608344107866
37,14,3562,8.397516288258512,25,0,0,1,60.5128573141717,0.02340253721922636,212.9874143600464,1.6023123264312744,0.052037608344107866
38,15,3612,18.222854517435255,50,0,0,1,54.97444818765267,-0.0009714528569020331,5.483949318528175,1.6227085888385773,0.01277240173658356
39,15,3693,19.629123646862016,81,0,0,1,53.49642433729824,-0.0009714528569020331,5.483949318528175,1.6227085888385773,0.01277240173658356
